post_shortcode;comment_text;final_data;predicted_aspect;sentiment_label;sentiment_value
DFKccJJPeW_;Biasanya petugas pdam sdh ijin rt dan petugas keamanan;tugas pdam ijin tugas aman;Lainnya;Netral;0
DFKccJJPeW_;"Kenapa ya PDAM saya itu dulunya tarifnya gol 1.3 tiba-tiba berubah jadi 2.1 padahal tetangga saya semuanya tarif gol nya 1.3 ada yg seperti saya tapi itu punya kos sedangkan saya saja rumah pribadi dan GK menyalurkan air ke tetangga rumah saya juga GK besar malahan ada lho dipintunya tulisan ""keluarga miskin"" yg dari pemerintah gara-gara hal itu tarif PDAM saya menjadi banyak setiap bulannya padahal saya sampai ngirit pakai air nya";pdam tarif golong ubah tetangga tarif golong nya kos rumah pribadi ga salur air tetangga rumah ga malah loh pintu tulis keluarga miskin perintah gara gara tarif pdam bulan irit pakai air nya;Harga;Netral;0
DFKccJJPeW_;Air pdam makin hari makin kotor sekali.... Apa nggak d treatment? Masak perusahaan daerah air minum jangankan air nya di minum.... Mau mandi aja nggak layak.... Sudah dpasang filter 1 micron pun nggak ada hasil:crying_face:;air pdam kotor tidak treatment masak usaha daerah air minum jangan air nya minum mandi tidak layak pasang filter micron tidak hasil;Pemasangan;Netral;0
DFKccJJPeW_;Sakben maghrib banyune buko makane g mancur?? Opo sanyomu rusak gak kuat nyemprot sampek kapas gading madya?;maghrib air buka puasa maka ga mancur pompa rusak tidak kuat semprot kapas gading madya;Meteran (Macet/Bermasalah);Netral;0
DFKccJJPeW_;ngajuin surat keberatan tagihan dari bulan januari sampe sekarang gak ada tanggapan. tagihan naik gara2 meter pdam yg rusak, malah pelanggan yang harus bayar kelebihan tagihannya. sekelas perusahaan daerah koq gak profesional gini;aju surat berat tagih januari tidak tanggap tagih gara meter pdam rusak langgan bayar lebih tagih kelas usaha daerah tidak profesional gin;Pelayanan;Negatif;-1
DFKccJJPeW_;2 bulan tagihan air kenapa melonjak ya;tagih air lonjak;Lainnya;Netral;0
DFKccJJPeW_;Dari pagi tadi air nggak keluar.. parah parah;pagi air tidak keluar parah parah;Air Tidak Mengalir;Negatif;-1
DFKccJJPeW_;PDAM GA WARAS, TAGIHAN SETELAH HARI RAYA SELALU TIBA2 NAIK DRASTIS PETUGAS SALAH NYATAT HARUSNYA 14 MALAH DITULIS 114!! GILAK TAGIHANKU JADI 500RB BULAN INI GILA JGN NGAWUR LAH ORG DI RMH ISINYA CMN 2 ORG GAADA KEBOCORAN SAMA SEKALI, GAADA KOLAM RENANG AIR CMN DI PAKE BUAT MANDI SAKA CUCI BAJU KOK BISA TAGIHAN BULAN MEI KMRN 500RB GILS;pdam ga sehat tagih raya drastis tugas salah catat tulis gila tagih gila bicara sembarang rumah isi cuman tidak ada bocor tidak ada kolam renang air cuman pakai mandi saka cuci baju tagih mei gila;Lainnya;Negatif;-1
DFKccJJPeW_;Tagihan yg sangat tidak masuk akal. Jika kelas tarif dipindah ya harus info dong ga langsung di naikkan harga. PDAM dr harga 60rb bulan ini masuk 190rb. Usaha kecil diperkampung untung pun hanya sedikit;tagih tidak masuk akal kelas tarif pindah informasi ga naik harga pdam harga masuk usaha kecil kampung untung;Harga;Netral;0
DFKccJJPeW_;Yo sido tak ajak ngopi lak ketemu q,, bah orie bah gak_mbulet sikat ae langsung,, prei wong ruwet.!!!;tidak ajak kopi ketemu q bah bah tidak rumit sikat aja libur rumit;Lainnya;Netral;0
DFKccJJPeW_;PDAM februari melonjak sekali ya admin.. biasany normal 500rbuan... Ini di cek hampir 700 ribuan.. mohon di bantu infonya.;pdam februari lonjak admin normal ribu an cek hampir ribu mohon bantu info;Lainnya;Netral;0
DFKccJJPeW_;Aliran air di mojo segera ditindak lanjuti dari pada saya datangi kantornya :fire::fire::fire:;alir air mojo tindak lanjut datang kantor;Air Tidak Mengalir;Netral;0
DFKccJJPeW_;Air PDAM wilayah Utara Surabaya setro baru Utara sulit mengalir kecil ,,tolong di TL;air pdam wilayah utara surabaya setro utara sulit alir kecil;Air Tidak Mengalir;Netral;0
DFKccJJPeW_;Mohon ditindak lanjuti @pdamsuryasembada;mohon tindak lanjut;Pelayanan;Netral;0
DFKccJJPeW_;Cra hubungi gmna ya biar ada kejelasan.. sya sudah byar biaya penggantian stop kran. Ktanya nunggu 1-7hari tp smpai hari ke 7 blm ada petugas dtang.. tlong  pencerahan nya min:folded_hands:;hubung biar jelas bayar biaya ganti stop keran tunggu tugas cerah nya admin;Harga;Netral;0
DFKccJJPeW_;gmn pemberitahuan resminya kalo memang peraturan kost 6 kamar dikenakan tarif 3.2A ? apa akal²an petugas aja, dikira kalo punya kost penghasilan banyak gitu?trs diganti dari 2.1 ake 3.2A ?ini cuma 6 kamar, bukan 10 atau 20 kamar,;pemberitahuan resmi memang atur kos kamar kena tarif a akal tugas kos hasil gitu terus ganti ake a kamar bukan kamar;Lainnya;Netral;0
DFKccJJPeW_;Biaya Retribusi itu untuk apa ya,,,,;biaya retribusi;Harga;Netral;0
DGPt1Dkvz64;Ini apa ada perbaikan ta .ko' air klr di rmh sya kecil kdng gak.nyal.dr setelah bayar .;baik ta air keluar rumah kecil kadang ga hidup bayar;Air Tidak Mengalir;Positif;1
DGPt1Dkvz64;Saya sudah mengajukan penggantian meteran, karena meteran rumah yg saya tinggali macet/rusak, sejak tanggal 23 Januari 2025 dan sampai sekarang belum ada tindak lanjut. Dengan no pengaduan PM2025000000825. LALU TAGIHAN SAYA BULAN JANUARI METERAN AKHIR 136 TAPI DI TAGIHAN BULAN FEBRUARI METERAN AWAL 116 DAN METERAN AKHIR 136. PADAHAL SAYA SUDAH LAPOR METERAN SAYA MACET/RUSAK, TAPI MALAH CATATAN METERAN YG DIUBAH-UBAH;aju ganti meter meter rumah tinggal macet rusak tanggal januari tindak adu pm tagih januari meter tagih februari meter awal meter lapor meter macet rusak catat meter ubah ubah;Meteran (Macet/Bermasalah);Negatif;-1
DGPt1Dkvz64;Halo kak, saya sudah pernah komplain disini, saya sudah melaporkan meteran rusak per tanggal 23 Januari 2025, petugas lapangan datang 2X untuk mengecek meteran. TAPI SAMPAI SEKARANG BELUM ADA PENGGANTIAN?????;halo kakak komplain sini lapor meter rusak tanggal januari tugas lapang x cek meter ganti;Meteran (Macet/Bermasalah);Netral;0
DGPt1Dkvz64;Info min sy juga sudah Pengaduan Pelanggan loh via Apk kok belum ada respon? Sy sempat DM dulu pernah juga tidak ada respon dialihkan ke Call Center TLP/WA, klo WA tidak ada layanan chat dg CS langsung?;informasi admin adu langgan loh via aplikasi respon pesan tidak respon alih call center telepon whatsapp whatsapp tidak layan chat layan langgan;Pelayanan;Netral;0
DGPt1Dkvz64;pak mau tanya no pelanggan 1032499 an Ny. Mustiani Wikanti Pulo Wonokromo Wetan 4 knp gol. tarifny berubah yg awalnya 2.1 skrg berubah jadi 3.2A knp gol. tarifny berubah yg awalnya 2.1 skrg berubah jadi 3.2A ini sebenarnya udah lama berubah, tapi saya baru diberitahu orang tua saya,. knp seenaknya merubah, ini memberatkan loh, alasan dirubah dulu krn petugas keliling meteran bilang krn rumah dibuat kost, alasan apa itu, saya harap kembalikan ke gol tarif 2.1 terima kasih;langgan an nya mustiani wikanti pulo wonokromo wetan golong tarif ubah ubah a golong tarif ubah ubah a ubah di beri tahu tua enak rubah berat loh alas rubah tugas keliling meter bilang rumah buat kos alas harap kembali golong tarif terima kasih;Harga;Positif;1
DGPt1Dkvz64;Alhamdulillah sore ini ( tgl 1742025) rumah saya di daerah Rungkut Menanggal Harapan sdh di ganti meterannya dan Sdh menerima bukti penggantian meteran. Terima kasih;alhamdulillah sore tanggal rumah daerah rungkut tanggal harap ganti meter terima bukti ganti meter terima kasih;Meteran (Macet/Bermasalah);Positif;1
DGPt1Dkvz64;Kelurahan benowo kapan kak???;lurah benowo kakak;Lainnya;Netral;0
DGPt1Dkvz64;Kak saya warga Dukuh Kupang, PDAM yg mengalir kecil sekali, padahal dulu ga seperti ini, semenjak pengerjaan gorong2 yg di depan kampus WK itu malah makin parah air mengalir nya, Tp tagihan tetep banyak;kakak warga dukuh kupang pdam alir kecil ga semenjak kerja gorong kampus parah air alir nya tagih;Air Tidak Mengalir;Negatif;-1
DGPt1Dkvz64;Meter baru merk ONDA sering terjadi pengembunan sehingga agak sulit dibaca. Meter lama yg bahan dan kualitas lebih baik, mangapa harus diganti?;meter merk onda embun agak sulit baca meter bahan kualitas mangapa ganti;Meteran (Macet/Bermasalah);Netral;0
DGPt1Dkvz64;"Saya sudah di kunjungi 3x oleh petugas pdam selama 3 tahun terakhir, yg katanya ""Meteran Bakal di Ganti yg Baru "" bahkan petugas ketiga yg datang saya titipkan pesan ""bukan hoax"" kan, karena terakhir petugas yg datang ternyata cuma omon omon saja. Jd saya sdh gk perduli, mau di ganti silahkan gak di ganti jg gpp. Toh selama ini meteran air sy lancar2 saja, walau agak berembun dan angkanya sulit terbaca. Toh selama ini tiap bulan bayar aor murah2 saja :folded_hands:";kunjung x tugas pdam kata meter ganti tugas titip pesan bukan isu bohong kan tugas ga peduli ganti silah tidak ganti tidak apa meter air lancar agak embun angka sulit baca bayar air murah;Meteran (Macet/Bermasalah);Netral;0
DGPt1Dkvz64;Kelurahan bulak tidak ada ya?;lurah bulak tidak;Lainnya;Netral;0
DGPt1Dkvz64;Sore,air di daerah Pandegiling keruh berwarna coklat kak mulai kemaren 24 feb;sore air daerah pandegiling keruh warna coklat kakak februari;Air Kotor/Bau;Negatif;-1
DGPt1Dkvz64;@pdamsuryasembada ini omong kosong ya sepertinya, ditempat saya mulai jam 6 pagi sampai jam 19 air tidak normal, bahkan bisa tidak keluar sama sekali, saat meteran rusak, diambil rata2 penggunaan penghuni rumah, sangat tidak fair, kecuali kalau air pdam m;omong kosong tempat jam pagi jam air tidak normal tidak keluar meter rusak ambil huni rumah tidak adil air pdam m;Meteran (Macet/Bermasalah);Netral;0
DGPt1Dkvz64;@pdamsuryasembada meteran saya sudah diganti, tapi air malah macet, apakah karena saya belum bayar? saya belum bayar karena ada LONJAKAN TAGIHAN TIDAK WAJAR  Saat meteran rusak , masak bisa sampai 2x tagihan rata-rata per Bulan, mohon segera ditindak lanj;meter ganti air macet bayar bayar lonjak tagih tidak wajar meter rusak masak x tagih mohon tindak;Meteran (Macet/Bermasalah);Negatif;-1
DGPt1Dkvz64;Min mau pengaduan gimana gak ada respon @pdamsuryasembada tagihan bln ini kok tbtb membengkak pdhal bertahun tahun gk pernah air sampai habis ratusan ribu;admin adu tidak respon tagih tiba tiba bengkak tahun ga air habis ratus;Pelayanan;Netral;0
DGPt1Dkvz64;Daerah kutorejo pacet kok berbusa airnya dan berwarna seperti susu;daerah kutorejo pacet busa air warna susu;Air Kotor/Bau;Netral;0
DGPt1Dkvz64;Info min....air disekitaran Kebraon kok siang ini tdk mengalir ya??apakah ada perbaikan;informasi mair sekitar kebraon siang tidak alir ya apakah baik;Air Tidak Mengalir;Positif;1
DGPt1Dkvz64;Apakah pengantian meteran pdam masih gratis atau berbayar ?;anti meter pdam gratis bayar;Harga;Netral;0
DGPt1Dkvz64;Pak maaf memang untuk daerah dukuh kupang timur apa aliran nya kecil nggeh;maaf memang daerah dukuh kupang timur alir nya kecil;Air Tidak Mengalir;Netral;0
DGPt1Dkvz64;Sambikerep tdk ada?;sambikerep tidak;Lainnya;Netral;0
DGPt1Dkvz64;Ok...terima kasih;ok terima kasih;Lainnya;Positif;1
DGPt1Dkvz64;Wil dinoyo kel keputran air kok keluarny kecil ya,, ad apa ni;wil dinoyo lurah keputran air keluar kecil;Air Tidak Mengalir;Netral;0
DGPt1Dkvz64;Meteran air di rumah saya kok g ada ya,,;meter air rumah ga;Meteran (Macet/Bermasalah);Netral;0
DGPt1Dkvz64;Hari ini, barusan jam 14.45 WIB air mati di daerah Kebraon. Tolong petugas cek ke lapangan @pdamsuryasembada;barusan jam air mati daerah kebraon tugas cek lapang;Air Tidak Mengalir;Negatif;-1
DGPt1Dkvz64;Min knp ya kok air rumah saya tiba” pembayaran naek ya drastis bgt padahal rumah klo sering kluarin air cuma malem karena ngisi ke rumah atas biasanya saya kena nya 90k an gak sampe 100k ini semalem bayar kenanya hampir 150k ? Ada kenaikan harga apa gimana ? Klo emg ada knp gak ada info yaaa;admin air rumah bayar drastis banget rumah keluar air malam isi rumah kena nya an tidak semalem bayar kena hampir naik harga tidak informasi;Harga;Netral;0
DGPt1Dkvz64;Sya mengajukan hanya disurvei smpai sekarang tdk ada tindakan. Bagaimana?;aju di survey tidak tindak;Pelayanan;Netral;0
DGPt1Dkvz64;Area siwalankerto apa bs pengajuan peremajaan meteran  @pdamsuryasembada ?;area siwalankerto aju remaja meter;Meteran (Macet/Bermasalah);Netral;0
DGPt1Dkvz64;Pak air dirmh  saya kluarnya sangat kecil  sekali, lebih deras uang yg mengalir dri dompet saya, tolong  di tinjau pak kenapa airnya sangat kecil  sekali . Kebetulan saya tinggal di wonokromo @pdamsuryasembada;air rumah keluar kecil deras uang alir dompet tinjau air kecil wonokromo;Air Tidak Mengalir;Netral;0
DGPt1Dkvz64;Air petemon 3 mati;air ton mati;Air Tidak Mengalir;Negatif;-1
DGPt1Dkvz64;Sakben maghrib banyune buko makane g mancur?? Opo sanyomu rusak gak kuat nyemprot sampek kapas gading madya?;maghrib air buka puasa maka ga mancur pompa rusak tidak kuat semprot kapas gading madya;Meteran (Macet/Bermasalah);Netral;0
DGPt1Dkvz64;Sudah 2 bulan semenjak METERAN DIGANTI BARU kenapa tagihan air dirumah saya jadi naik 6x lipat!! Parah banget sih!;semenjak meter ganti tagih air rumah x lipat parah sih;Meteran (Macet/Bermasalah);Negatif;-1
DGPt1Dkvz64;Sore ... Mohon info untuk air dirumah saya keluar nya kecil sekali, dan kadang mati , biasanya keluar air di malam hari saja, tapi ini dr pagi sampe ke pagi lagi gak keluar airnya .?;sore mohon informasi air rumah keluar nya kecil kadang mati keluar air malam pagi pagi tidak keluar air;Air Tidak Mengalir;Negatif;-1
DGPt1Dkvz64;Kebraon matek banyune woiii;kebraon mati air woi;Air Tidak Mengalir;Negatif;-1
DGPt1Dkvz64;Min didaerah kelurahan Pradah kalikendal airnya mati, keluar air hanya malam saja dan airnya pelan. Tolong segera ditindak lanjuti;admin daerah lurah pradah kalikendal air mati keluar air malam air pelan tindak lanjut;Air Tidak Mengalir;Negatif;-1
DGPt1Dkvz64;Area bulak cumpat air e butek min. Tolong di cek dan diperbaiki kualitas airnya;area bulak cumpat air nya keruh admin cek baik kualitas air;Air Kotor/Bau;Netral;0
DGPt1Dkvz64;Hallo min, apa ada gangguan aliran air daerah wonocolo?;halo admin ganggu alir air daerah wonocolo;Air Tidak Mengalir;Netral;0
DGPt1Dkvz64;Siang min, saya baru aja  d ganti meteran airnya lah tpi kok malah sambungan ada yg bocor dan d kenai biaya 250rb, tetga saya juga bocor dan byar 250 rbu, inid perum pondok maritim balas klumprik;siang admin ganti meter air sambung bocor kena biaya tetangga bocor bayar ini di perum pondok maritim balas klumprik;Kebocoran;Negatif;-1
DGPt1Dkvz64;Aliran air daerah mojo tidak lancar, segera ditindaklanjuti daripada kantornya didatangi :fire::fire::fire:;alir air daerah mojo tidak lancar ditindaklanjuti kantor datang;Air Tidak Mengalir;Netral;0
DGPt1Dkvz64;Saya mengajukan surat keberatan tagihan dari bulan januari 2025, krn meter PDAM rusak. Sampai sekarang tidak ada tanggapan. meter pdam yg rusak, masa pelanggan yang harus bayar tagihannya?padahal air yang digunakan tidak sebanyak tagihannya.;aju surat berat tagih januari meter pdam rusak tidak tanggap meter pdam rusak langgan bayar tagih padahal air guna tidak tagih;Meteran (Macet/Bermasalah);Negatif;-1
DGPt1Dkvz64;Diganti meteran baru tagihan malah lbh banyak :person_facepalming:;ganti meter tagih;Meteran (Macet/Bermasalah);Netral;0
DGPt1Dkvz64;Air mati seharian hidup malam ajja padahal kota besar air mati terus pembayaran naik 100%;air mati hari malam aja kota air mati bayar;Air Tidak Mengalir;Negatif;-1
DGPt1Dkvz64;Kalau cara pengajuannya pilih apa ya saya;aju pilih;Pelayanan;Netral;0
DGPt1Dkvz64;@pdamsuryasembada kelurahan perak barat ga ada yah min?;lurah perak barat ga admin;Lainnya;Netral;0
DGPt1Dkvz64;@pdamsuryasembada saya sdh kirim surat komplen ke Manajer kaliam sesuai arahan Spv Pak Agus. Katanya 3 hari kerja dihubjngi balik utk feedbacknya. Sampe skrg ga dihubungi tapi di lapangan org PDAM cabut meteran saya. Sy tlp ke Call Center PDAM Sby juga so;kirim surat komplain manajer arah spv agus kata kerja di hubung kali kali feedback ga hubung lapang pdam pergi meter telepon call center pdam surabaya;Pelayanan;Netral;0
DGPt1Dkvz64;Selamat pagi, mhon info wilayah Medokan ayu apa ada perbaikan ngge?kok airnya mati;selamat pagi mohon informasi wilayah medok cantik baik ya kok air mati;Lainnya;Negatif;-1
DGPt1Dkvz64;Rungkut kenapa gak ada Min ?;rungkut tidak admin;Lainnya;Netral;0
DGPt1Dkvz64;Min, aliran air di daerah kejawan mati total, kemarin dan hari ini masih berlanjut, kira-kira apakah dampak dari peremajaan besar-besaran kah? Padahal kejawan tidak ada di list.;admin alir air daerah kejawan mati total lanjut kira kira dampak remaja besar kejawan tidak list;Meteran (Macet/Bermasalah);Negatif;-1
DGPt1Dkvz64;Pelayanan mantap;layan mantap;Pelayanan;Positif;1
DGPt1Dkvz64;Mantab pdam;mantap pdam;Lainnya;Positif;1
DGPt1Dkvz64;kenapa airnya dalam 3hari ini kok keruh,hampir kyk air beras;air dalam keruh hampir air beras;Air Kotor/Bau;Negatif;-1
DGPt1Dkvz64;Mohon info, Kalau Kran meter bocor kalau TIDAK diputar/dibuka penuh apa ini termasuk perbaikan;mohon informasi keran meter bocor tidak putar buka penuh baik;Meteran (Macet/Bermasalah);Netral;0
DGPt1Dkvz64;"Daerah kecamatan Bulak min.. airnya kok keruh + banger.. ga iso gae masak + Korah"" min.. :person_facepalming:";daerah camat bulak admin air keruh banger ga pakai masak korah admin;Air Kotor/Bau;Negatif;-1
DGPt1Dkvz64;Air di kedungdoro keruh sekali sejak kemarin malam;air kedungdoro keruh malam;Air Kotor/Bau;Negatif;-1
DGPt1Dkvz64;Di rmh saya sdh 2 bulan ini tagihannya 100rb lbh pdhl penghuninya cima 2 org sehari kerja semua.....kran mati tp meteran muternya kencang banget :see-no-evil_monkey:;rumah tagih hun hari kerja semua keran mati meter putar kencang sih;Meteran (Macet/Bermasalah);Negatif;-1
DGPt1Dkvz64;Min, ini stop kran yg dirmh sdh aus Krn usia, sdh diatas 5 th,  apakah juga termasuk bisa diganti??;admin stop keran rumah rusak usia atas ganti;Meteran (Macet/Bermasalah);Netral;0
DGPt1Dkvz64;Apa ada perbaikan ini? Daerah candi lempung koq tidak ngalir :crying_face:;baik daerah candi lempung tidak alir;Air Tidak Mengalir;Positif;1
DGPt1Dkvz64;Air di Wonokromo kotor butek sedari kemarin sore;air wonokromo kotor keruh dar sore;Air Kotor/Bau;Negatif;-1
DGPt1Dkvz64;Daerah tegalsari air PDAM ga layak pakai seperti air sungai sudah 2hr ini,sekarang mati;daerah tegalsari air pdam ga layak pakai air sungai ini sekarang mati;Lainnya;Negatif;-1
DGPt1Dkvz64;Mohon ijin menginfokan. Mulai tadi pagi air pdam di daerah Krukah Lama, Kel. Ngagel Rejo, keruh pekat. Mohon bisa segera ditindaklanjuti. Terimakasih.;mohon ijin info pagi air pdam daerah kru lurah ngagel rejo keruh pekat mohon ditindaklanjuti terima kasih;Air Kotor/Bau;Netral;0
DGPt1Dkvz64;Air knp keruhhhh sekaliii.... :crying_face:;air keruh;Air Kotor/Bau;Negatif;-1
DGPt1Dkvz64;Untuk penggantian Meter diminta bayar vja Indomart, stlah bayar via Indomart katae H+1 br msk, stlah H+1 msk br di Jadwalkan kunjungan....LUAMA, Air sudah bocor deras yg nanggu pemilik rumah. Knp lama skali prosesnya?;ganti meter bayar via indomaret bayar via indomaret h masuk h masuk jadwal kunjunganluama air bocor deras tanggung milik rumah proses;Kebocoran;Negatif;-1
DGPt1Dkvz64;Min manyar sabrangan air nya kotor;admin manyar sabrangan air nya kotor;Air Kotor/Bau;Netral;0
DGPt1Dkvz64;Assalamualaikum min mau tanya jambangan dan Bibis apakah airnya mati;assalamualaikum admin jambang bibis air mati;Air Tidak Mengalir;Negatif;-1
DGPt1Dkvz64;Stop kran pdam saya rusak usia sudah 5 tahun lebih, meteran pdam muter terus tanpa dipakai rugi saya. Saya wa pdam sby untuk perbaikan stop kran saya di kenakan biaya Rp 197.580,- Apa iya bayar? :clapping_hands:;stop keran pdam rusak usia meter pdam putar pakai rugi whatsapp pdam surabaya baik stop keran kena biaya rp bayar;Meteran (Macet/Bermasalah);Positif;1
DGPt1Dkvz64;Ketintang airnya mati;ketintang air mati;Air Tidak Mengalir;Negatif;-1
DGPt1Dkvz64;itu kelurahan Wonorejo Rungkut kah min?;lurah wonorejo rungkut admin;Lainnya;Netral;0
DGPt1Dkvz64;benowo kpan min;benowo admin;Lainnya;Netral;0
DGPt1Dkvz64;Sejak perbaikan pipa bocor di made, sampai sekrang kok air kadang ngalir kecil kadang ga kluar. Ini gimana min apa masih ada kendala?;baik pipa bocor made air kadang alir kecil kadang ga keluar admin kendala;Air Tidak Mengalir;Netral;0
DGPt1Dkvz64;Kalo wonocolo tdk gratis kah?;wonocolo tidak gratis;Harga;Netral;0
DGPt1Dkvz64;Wilayah tanjung perak apakah sedang ada perbaikan?;wilayah tanjung perak baik;Lainnya;Positif;1
DGPt1Dkvz64;Putat jaya kok gak ikut ya?;putat jaya tidak;Lainnya;Netral;0
DGPt1Dkvz64;halo @pdamsuryasembada  sy ada wa tp slow respon ya, nomor call centernya jg, operatornya sibuk terus, air ditempat saya mati dari semalam, apa ada solusi untuk pengaduan saya;halo whatsapp slow respon nomor call center operator sibuk air tempat mati tadi malam solusi adu;Pelayanan;Negatif;-1
DGPt1Dkvz64;kalau kran meteran bocor apakah termasuk ?;keran meter bocor;Meteran (Macet/Bermasalah);Negatif;-1
DGPt1Dkvz64;Air nya agak keruh, mgkin next ada peremajaan saluran air dr pdam kaj ?;air nya agak keruh mungkin remaja salur air pdam;Meteran (Macet/Bermasalah);Negatif;-1
DGPt1Dkvz64;Min @pdamsuryasembada  sy sdh WA menu apa yg di pilih?;admin whatsapp menu pilih;Pelayanan;Netral;0
DGPt1Dkvz64;Kelurahan Sambikerep min??? Wes 30 THN meteraku blum diremajakan...;lurah sambikerep admin meter remaja;Meteran (Macet/Bermasalah);Netral;0
DGPt1Dkvz64;D tunggu area sby selatan y gaes;tunggu area surabaya selatan teman teman;Lainnya;Netral;0
DGPt1Dkvz64;Kalau kelurahan baratajaya tidak ada kah?;lurah baratajaya tidak;Lainnya;Netral;0
DGPt1Dkvz64;Pradah Kalikendal ngga masuk area peremajaan min?;pradah kalikendal tidak masuk area remaja admin;Meteran (Macet/Bermasalah);Netral;0
DGPt1Dkvz64;Dukuh pakis kok gak ada min?;dukuh pakis tidak admin;Lainnya;Netral;0
DGPt1Dkvz64;Kelurahan morokrembangan kok tidak ada;lurah morokrembangan tidak;Lainnya;Netral;0
