comment_id,comment_text,segmented_text,tokens_segmented_text,stemmed_segmented_text,true_aspect,predicted_aspect,similarity_score,true_sentiment,final_sentiment_score,final_sentiment_normalized,final_sentiment_label,type
46,"Kak saya warga Dukuh Kupang, PDAM yg mengalir kecil sekali,  dulu ga seperti ini, semenjak pengerjaan gorong2 yg di depan kampus WK itu malah makin parah air mengalir nya, Tp tagihan tetep banyak","kakak warga dukuh kupang , pdam mengalir kecil , ga , semenjak pengerjaan gorong-gorong kampus parah air mengalir nya ,","['kakak', 'warga', 'dukuh', 'kupang', ',', 'pdam', 'mengalir', 'kecil', ',', 'ga', ',', 'semenjak', 'pengerjaan', 'gorong-gorong', 'kampus', 'parah', 'air', 'mengalir', 'nya', ',']","kakak warga dukuh kupang , pdam alir kecil , ga , semenjak kerja gorong-gorong kampus parah air alir nya ,",Air Tidak Mengalir,Lainnya,0.3885187284480468,Negatif,-4,-1,Negatif,
48,"Saya sudah di kunjungi 3x oleh petugas pdam selama 3 tahun terakhir, yg katanya ""Meteran Bakal di Ganti yg Baru "" bahkan petugas ketiga yg datang saya titipkan pesan ""bukan hoax"" kan, karena terakhir petugas yg datang ternyata cuma omon omon saja. Jd saya sdh gk perduli, mau di ganti silahkan gak di ganti jg gpp. Toh selama ini meteran air sy lancar2 saja, walau agak berembun dan angkanya sulit terbaca. Toh selama ini tiap bulan bayar aor murah2 saja :folded_hands:","sudah kunjung petugas pdam , katanya meter ganti petugas datang titip pesan bukan hoax kan ,","['sudah', 'kunjung', 'petugas', 'pdam', ',', 'katanya', 'meter', 'ganti', 'petugas', 'datang', 'titip', 'pesan', 'bukan', 'hoax', 'kan', ',']","sudah kunjung tugas pdam , kata meter ganti tugas datang titip pesan bukan hoax kan ,",Pelayanan,Harga,0.32003944294143866,Negatif,-4,-1,Negatif,
48,"Saya sudah di kunjungi 3x oleh petugas pdam selama 3 tahun terakhir, yg katanya ""Meteran Bakal di Ganti yg Baru "" bahkan petugas ketiga yg datang saya titipkan pesan ""bukan hoax"" kan, karena terakhir petugas yg datang ternyata cuma omon omon saja. Jd saya sdh gk perduli, mau di ganti silahkan gak di ganti jg gpp. Toh selama ini meteran air sy lancar2 saja, walau agak berembun dan angkanya sulit terbaca. Toh selama ini tiap bulan bayar aor murah2 saja :folded_hands:","karena petugas datang . sudah ga peduli , ganti silahkan tidak ganti tidak apa-apa . meter air lancar , agak berembun angka sulit terbaca . bayar air murah","['karena', 'petugas', 'datang', '.', 'sudah', 'ga', 'peduli', ',', 'ganti', 'silahkan', 'tidak', 'ganti', 'tidak', 'apa-apa', '.', 'meter', 'air', 'lancar', ',', 'agak', 'berembun', 'angka', 'sulit', 'terbaca', '.', 'bayar', 'air', 'murah']","karena tugas datang . sudah ga peduli , ganti silah tidak ganti tidak apa . meter air lancar , agak embun angka sulit baca . bayar air murah",Meteran (Macet/Bermasalah),Harga,0.2381925157892894,Negatif,-6,-1,Negatif,
52,"@pdamsuryasembada meteran saya sudah diganti, tapi air malah macet, apakah karena saya belum bayar? saya belum bayar karena ada LONJAKAN TAGIHAN TIDAK WAJAR  Saat meteran rusak , masak bisa sampai 2x tagihan rata-rata per Bulan, mohon segera ditindak lanj","tapi air macet ,","['tapi', 'air', 'macet', ',']","tapi air macet ,",Meteran (Macet/Bermasalah),Meteran (Macet/Bermasalah),0.4519617180408243,Negatif,-1,-1,Negatif,
52,"@pdamsuryasembada meteran saya sudah diganti, tapi air malah macet, apakah karena saya belum bayar? saya belum bayar karena ada LONJAKAN TAGIHAN TIDAK WAJAR  Saat meteran rusak , masak bisa sampai 2x tagihan rata-rata per Bulan, mohon segera ditindak lanj",karena belum bayar ? belum bayar,"['karena', 'belum', 'bayar', '?', 'belum', 'bayar']",karena belum bayar ? belum bayar,Harga,Harga,0.9398873893727357,Netral,0,0,Netral,
52,"@pdamsuryasembada meteran saya sudah diganti, tapi air malah macet, apakah karena saya belum bayar? saya belum bayar karena ada LONJAKAN TAGIHAN TIDAK WAJAR  Saat meteran rusak , masak bisa sampai 2x tagihan rata-rata per Bulan, mohon segera ditindak lanj","karena ada lonjakan tagihan tidak wajar meter rusak , masak sampai tagihan , mohon tindak","['karena', 'ada', 'lonjakan', 'tagihan', 'tidak', 'wajar', 'meter', 'rusak', ',', 'masak', 'sampai', 'tagihan', ',', 'mohon', 'tindak']","karena ada lonjak tagih tidak wajar meter rusak , masak sampai tagih , mohon tindak",Meteran (Macet/Bermasalah),Meteran (Macet/Bermasalah),0.44231850069415396,Negatif,-3,-1,Negatif,
53,Min mau pengaduan gimana gak ada respon @pdamsuryasembada tapitagihan bln ini kok tbtb membengkak pdhal bertahun tahun gk pernah air sampai habis ratusan ribu,padahal bertahun ga air sampai habis ratusan,"['padahal', 'bertahun', 'ga', 'air', 'sampai', 'habis', 'ratusan']",padahal tahun ga air sampai habis ratus,Harga,Air Tidak Mengalir,0.3138861024831669,Netral,0,0,Netral,
63,Min knp ya kok air rumah saya tiba” pembayaran naek ya drastis bgt padahal rumah klo sering kluarin air cuma malem karena ngisi ke rumah atas biasanya saya kena nya 90k an gak sampe 100k ini semalem bayar kenanya hampir 150k ? Ada kenaikan harga apa gimana ? Klo emg ada knp gak ada info yaaa,admin air rumah pembayaran naik drastis banget,"['admin', 'air', 'rumah', 'pembayaran', 'naik', 'drastis', 'banget']",admin air rumah bayar naik drastis banget,Harga,Harga,0.5995554624628139,Netral,0,0,Netral,
75,"Siang min, saya baru aja  d ganti meteran airnya lah tpi kok malah sambungan ada yg bocor dan d kenai biaya 250rb, tetga saya juga bocor dan byar 250 rbu, inid perum pondok maritim balas klumprik","siang admin , ganti meter air","['siang', 'admin', ',', 'ganti', 'meter', 'air']","siang admin , ganti meter air",Meteran (Macet/Bermasalah),Meteran (Macet/Bermasalah),0.5471107724029498,Negatif,-1,-1,Negatif,
75,"Siang min, saya baru aja  d ganti meteran airnya lah tpi kok malah sambungan ada yg bocor dan d kenai biaya 250rb, tetga saya juga bocor dan byar 250 rbu, inid perum pondok maritim balas klumprik","tapi sambungan ada bocor kena biaya , tetangga bocor bayar , perum pondok maritim balas klumprik","['tapi', 'sambungan', 'ada', 'bocor', 'kena', 'biaya', ',', 'tetangga', 'bocor', 'bayar', ',', 'perum', 'pondok', 'maritim', 'balas', 'klumprik']","tapi sambung ada bocor kena biaya , tetangga bocor bayar , perum pondok maritim balas klumprik",Kebocoran,Kebocoran,0.3616984795609609,Negatif,-4,-1,Negatif,
77,"Saya mengajukan surat keberatan tagihan dari bulan januari 2025, meter PDAM rusak. Sampai sekarang tidak ada tanggapan. meter pdam yg rusak, tapi pelanggan yang harus bayar tagihannya?padahal air yang digunakan tidak sebanyak tagihannya.","mengajukan surat keberatan tagihan januari , meter pdam rusak . sampai sekarang tidak ada tanggapan . meter pdam rusak ,","['mengajukan', 'surat', 'keberatan', 'tagihan', 'januari', ',', 'meter', 'pdam', 'rusak', '.', 'sampai', 'sekarang', 'tidak', 'ada', 'tanggapan', '.', 'meter', 'pdam', 'rusak', ',']","aju surat berat tagih januari , meter pdam rusak . sampai sekarang tidak ada tanggap . meter pdam rusak ,",Meteran (Macet/Bermasalah),Harga,0.5419076535195526,Negatif,-3,-1,Negatif,
77,"Saya mengajukan surat keberatan tagihan dari bulan januari 2025, meter PDAM rusak. Sampai sekarang tidak ada tanggapan. meter pdam yg rusak, tapi pelanggan yang harus bayar tagihannya?padahal air yang digunakan tidak sebanyak tagihannya.",padahal air digunakan tidak tagihan .,"['padahal', 'air', 'digunakan', 'tidak', 'tagihan', '.']",padahal air guna tidak tagih .,Harga,Harga,0.39590359827644633,Negatif,-3,-1,Negatif,
79,Air mati seharian hidup malam ajja padahal kota besar air mati terus pembayaran naik 100%,air mati seharian hidup malam,"['air', 'mati', 'seharian', 'hidup', 'malam']",air mati hari hidup malam,Air Tidak Mengalir,Air Tidak Mengalir,0.5317767003677203,Negatif,-2,-1,Negatif,
79,Air mati seharian hidup malam ajja padahal kota besar air mati terus pembayaran naik 100%,padahal kota air mati pembayaran naik,"['padahal', 'kota', 'air', 'mati', 'pembayaran', 'naik']",padahal kota air mati bayar naik,Air Tidak Mengalir,Air Tidak Mengalir,0.38689537806254054,Negatif,-2,-1,Negatif,
82,@pdamsuryasembada saya sdh kirim surat komplen ke Manajer kaliam sesuai arahan Spv Pak Agus. Katanya 3 hari kerja dihubjngi balik utk feedbacknya. Sampe skrg ga dihubungi tapi di lapangan org PDAM cabut meteran saya. Sy tlp ke Call Center PDAM Sby juga so,sudah kirim surat komplain manajer arahan supervisor agus . katanya kerja hubung berkali kali masukan . sampai sekarang ga hubingi,"['sudah', 'kirim', 'surat', 'komplain', 'manajer', 'arahan', 'supervisor', 'agus', '.', 'katanya', 'kerja', 'hubung', 'berkali', 'kali', 'masukan', '.', 'sampai', 'sekarang', 'ga', 'hubingi']",sudah kirim surat komplain manajer arah supervisor agus . kata kerja hubung kali kali masuk . sampai sekarang ga hubingi,Pelayanan,Lainnya,0.36577124784842546,Negatif,-1,-1,Negatif,
82,@pdamsuryasembada saya sdh kirim surat komplen ke Manajer kaliam sesuai arahan Spv Pak Agus. Katanya 3 hari kerja dihubjngi balik utk feedbacknya. Sampe skrg ga dihubungi tapi di lapangan org PDAM cabut meteran saya. Sy tlp ke Call Center PDAM Sby juga so,tapi lapangan pdam cabut meter . telepon call center pdam surabaya,"['tapi', 'lapangan', 'pdam', 'cabut', 'meter', '.', 'telepon', 'call', 'center', 'pdam', 'surabaya']",tapi lapang pdam cabut meter . telepon call center pdam surabaya,Pelayanan,Pemasangan,0.442143125285276,Negatif,-1,-1,Negatif,
92,Di rmh saya sdh 2 bulan ini tagihannya 100rb lbh namun penghuninya cima 2 org sehari kerja semua.... sedangkan kran mati tp meteran muternya kencang banget :see-no-evil_monkey:,sedangkan keran mati,"['sedangkan', 'keran', 'mati']",sedang keran mati,Air Tidak Mengalir,Pelayanan,0.3205027634006459,Negatif,-2,-1,Negatif,
96,"Daerah tegalsari air PDAM ga layak pakai seperti air sungai sudah 2hr ini,tapi sekarang airnya mati","daerah tegalsari air pdam ga layak pakai air sungai sudah ,","['daerah', 'tegalsari', 'air', 'pdam', 'ga', 'layak', 'pakai', 'air', 'sungai', 'sudah', ',']","daerah tegalsari air pdam ga layak pakai air sungai sudah ,",Air Kotor/Bau,Air Kotor/Bau,0.9327162111212788,Negatif,-4,-1,Negatif,
96,"Daerah tegalsari air PDAM ga layak pakai seperti air sungai sudah 2hr ini,tapi sekarang airnya mati",tapi sekarang air mati,"['tapi', 'sekarang', 'air', 'mati']",tapi sekarang air mati,Air Tidak Mengalir,Air Tidak Mengalir,0.5726165997130821,Negatif,-1,-1,Negatif,
109,Wilayah tanjung perak apakah lagi ada perbaikan?,wilayah tanjung perak,"['wilayah', 'tanjung', 'perak']",wilayah tanjung perak,Air Tidak Mengalir,Lainnya,0.7746136990495134,Netral,0,0,Netral,
109,Wilayah tanjung perak apakah sedang ada perbaikan?,sedang ada perbaikan ?,"['sedang', 'ada', 'perbaikan', '?']",sedang ada baik ?,Air Tidak Mengalir,Air Tidak Mengalir,0.6698859853070978,Netral,0,0,Netral,
134,Kel simolawang  air PDAM mati hidup malam ajja sudah pengaduan tapi tetep ajja gk berubah bayarnya naik 100%,kelurahan simolawang air pdam mati hidup malam sudah pengaduan,"['kelurahan', 'simolawang', 'air', 'pdam', 'mati', 'hidup', 'malam', 'sudah', 'pengaduan']",lurah simolawang air pdam mati hidup malam sudah adu,Air Tidak Mengalir,Air Tidak Mengalir,0.5273418599051553,Negatif,-3,-1,Negatif,
134,Kel simolawang  air PDAM mati hidup malam ajja sudah pengaduan tapi tetep ajja gk berubah bayarnya naik 100%,tapi tetap ga berubah bayar naik,"['tapi', 'tetap', 'ga', 'berubah', 'bayar', 'naik']",tapi tetap ga ubah bayar naik,Harga,Lainnya,0.37827009136466744,Negatif,-2,-1,Negatif,
141,Dulu tarif saya ini golongan 1.3 pas ada perubahan tarif kenapa tiba-tiba di ubah menjadi 2.1 padahal rumah saya juga ada tulisan KELUARGA MISKIN yang dari pemerintah lantai juga dari tanah dan juga rumah saya tidak tingkat atau berlantai 2 juga tidak dibuat kos atau kontrakan padahal tetangga saya semuanya tarif golongannya 1.3 emang ada yg 2.1 itupun dibuat kos atau kontrak sedangkan saya kan tidak kalau lapor ke PDAM ujung-ujungnya nanti petugas kemari di cek disuruh ganti meteran yang bayarnya juga gak murah tolong dong di cek petugas keliling meteran itu kenapa sih harus di ubah kan saya bayar nya juga jadi mahal paling sedikit saya kena itu 100 RB yang tetangga saya kena padahal rata2 cuma 20 ribu atau 25 ribu apalagi ini untuk daerah tambak asri yang notaben kebanyakan tarifnya golongan 1.3,padahal rumah ada tulisan keluarga miskin pemerintah lantai tanah rumah tidak berlantai tidak kos kontrakan,"['padahal', 'rumah', 'ada', 'tulisan', 'keluarga', 'miskin', 'pemerintah', 'lantai', 'tanah', 'rumah', 'tidak', 'berlantai', 'tidak', 'kos', 'kontrakan']",padahal rumah ada tulis keluarga miskin perintah lantai tanah rumah tidak lantai tidak kos kontra,Lainnya,Lainnya,0.47000360174718847,Negatif,-1,-1,Negatif,
141,Dulu tarif saya ini golongan 1.3 pas ada perubahan tarif kenapa tiba-tiba di ubah menjadi 2.1 padahal rumah saya juga ada tulisan KELUARGA MISKIN yang dari pemerintah lantai juga dari tanah dan juga rumah saya tidak tingkat atau berlantai 2 juga tidak dibuat kos atau kontrakan padahal tetangga saya semuanya tarif golongannya 1.3 emang ada yg 2.1 itupun dibuat kos atau kontrak sedangkan saya kan tidak kalau lapor ke PDAM ujung-ujungnya nanti petugas kemari di cek disuruh ganti meteran yang bayarnya juga gak murah tolong dong di cek petugas keliling meteran itu kenapa sih harus di ubah kan saya bayar nya juga jadi mahal paling sedikit saya kena itu 100 RB yang tetangga saya kena padahal rata2 cuma 20 ribu atau 25 ribu apalagi ini untuk daerah tambak asri yang notaben kebanyakan tarifnya golongan 1.3,padahal tetangga tarif golongan . ada . itu pun kos kontrak,"['padahal', 'tetangga', 'tarif', 'golongan', '.', 'ada', '.', 'itu', 'pun', 'kos', 'kontrak']",padahal tetangga tarif golong . ada . itu pun kos kontrak,Harga,Harga,0.3282586423213109,Negatif,-2,-1,Negatif,
141,Dulu tarif saya ini golongan 1.3 pas ada perubahan tarif kenapa tiba-tiba di ubah menjadi 2.1 padahal rumah saya juga ada tulisan KELUARGA MISKIN yang dari pemerintah lantai juga dari tanah dan juga rumah saya tidak tingkat atau berlantai 2 juga tidak dibuat kos atau kontrakan padahal tetangga saya semuanya tarif golongannya 1.3 emang ada yg 2.1 itupun dibuat kos atau kontrak sedangkan saya kan tidak kalau lapor ke PDAM ujung-ujungnya nanti petugas kemari di cek disuruh ganti meteran yang bayarnya juga gak murah tolong dong di cek petugas keliling meteran itu kenapa sih harus di ubah kan saya bayar nya juga jadi mahal paling sedikit saya kena itu 100 RB yang tetangga saya kena padahal rata2 cuma 20 ribu atau 25 ribu apalagi ini untuk daerah tambak asri yang notaben kebanyakan tarifnya golongan 1.3,sedangkan kan tidak lapor pdam ujung ujung petugas kemari cek suruh ganti meter bayar tidak murah cek petugas keliling meter sih harus ubah kan bayar nya mahal paling kena tetangga kena,"['sedangkan', 'kan', 'tidak', 'lapor', 'pdam', 'ujung', 'ujung', 'petugas', 'kemari', 'cek', 'suruh', 'ganti', 'meter', 'bayar', 'tidak', 'murah', 'cek', 'petugas', 'keliling', 'meter', 'sih', 'harus', 'ubah', 'kan', 'bayar', 'nya', 'mahal', 'paling', 'kena', 'tetangga', 'kena']",sedang kan tidak lapor pdam ujung ujung tugas kemari cek suruh ganti meter bayar tidak murah cek tugas keliling meter sih harus ubah kan bayar nya mahal paling kena tetangga kena,Harga,Harga,0.2531312679584065,Negatif,-10,-1,Negatif,
141,Dulu tarif saya ini golongan 1.3 pas ada perubahan tarif kenapa tiba-tiba di ubah menjadi 2.1 padahal rumah saya juga ada tulisan KELUARGA MISKIN yang dari pemerintah lantai juga dari tanah dan juga rumah saya tidak tingkat atau berlantai 2 juga tidak dibuat kos atau kontrakan padahal tetangga saya semuanya tarif golongannya 1.3 emang ada yg 2.1 itupun dibuat kos atau kontrak sedangkan saya kan tidak kalau lapor ke PDAM ujung-ujungnya nanti petugas kemari di cek disuruh ganti meteran yang bayarnya juga gak murah tolong dong di cek petugas keliling meteran itu kenapa sih harus di ubah kan saya bayar nya juga jadi mahal paling sedikit saya kena itu 100 RB yang tetangga saya kena padahal rata2 cuma 20 ribu atau 25 ribu apalagi ini untuk daerah tambak asri yang notaben kebanyakan tarifnya golongan 1.3,padahal daerah tambak asri notabene kebanyakan tarif golong .,"['padahal', 'daerah', 'tambak', 'asri', 'notabene', 'kebanyakan', 'tarif', 'golong', '.']",padahal daerah tambak asri notabene banyak tarif golong .,Harga,Harga,0.3585673074557644,Negatif,-1,-1,Negatif,
143,"Saya sudah bayar untuk penggantian meteran air yg hilang,tapi tidak dipasang2 alasannya karena stop kran nya kosong..dan ditanyai kira2 sampe kapan tapi tdk tau..disuruh beli sendiri..sudah bayar denda meteran hilang mahal ini disuruh beli stop kran sendiri.gmn ya pelayanannya ini:smirking_face: @pdamsuryasembada","sudah bayar pergantian meter air hilang ,","['sudah', 'bayar', 'pergantian', 'meter', 'air', 'hilang', ',']","sudah bayar ganti meter air hilang ,",Meteran (Macet/Bermasalah),Air Tidak Mengalir,0.5408909676943267,Negatif,-2,-1,Negatif,
143,"Saya sudah bayar untuk penggantian meteran air yg hilang,tapi tidak dipasang2 alasannya karena stop kran nya kosong..dan ditanyai kira2 sampe kapan tapi tdk tau..disuruh beli sendiri..sudah bayar denda meteran hilang mahal ini disuruh beli stop kran sendiri.gmn ya pelayanannya ini:smirking_face: @pdamsuryasembada",tapi tidak pasang alasan,"['tapi', 'tidak', 'pasang', 'alasan']",tapi tidak pasang alas,Pemasangan,Air Tidak Mengalir,0.4424966400569402,Negatif,-1,-1,Negatif,
143,"Saya sudah bayar untuk penggantian meteran air yg hilang,tapi tidak dipasang2 alasannya karena stop kran nya kosong..dan ditanyai kira2 sampe kapan tapi tdk tau..disuruh beli sendiri..sudah bayar denda meteran hilang mahal ini disuruh beli stop kran sendiri.gmn ya pelayanannya ini:smirking_face: @pdamsuryasembada",tapi tidak . suruh beli . sudah bayar denda meter hilang mahal suruh beli stop keran . pelayanan,"['tapi', 'tidak', '.', 'suruh', 'beli', '.', 'sudah', 'bayar', 'denda', 'meter', 'hilang', 'mahal', 'suruh', 'beli', 'stop', 'keran', '.', 'pelayanan']",tapi tidak . suruh beli . sudah bayar denda meter hilang mahal suruh beli stop keran . layan,Pelayanan,Lainnya,0.309299483808901,Negatif,-5,-1,Negatif,
149,"Kenapa laporan by WhatsApp PDAM  GK ada jawaban ya kak, padahal saya sudah daftar mau tanya soal kekurangan persyaratan pasang baru","laporan whatsapp pdam ga ada kakak ,","['laporan', 'whatsapp', 'pdam', 'ga', 'ada', 'kakak', ',']","lapor whatsapp pdam ga ada kakak ,",Pelayanan,Pelayanan,0.35180071785418177,Negatif,-1,-1,Negatif,
154,Min kalau ngontrak rumah belum dipasang pdam caranya gimana?karena rumah yang dikontrak warisan,admin kontrak rumah belum pasang pdam caranya ?,"['admin', 'kontrak', 'rumah', 'belum', 'pasang', 'pdam', 'caranya', '?']",admin kontrak rumah belum pasang pdam cara ?,Pemasangan,Pemasangan,0.5498376229201264,Netral,0,0,Netral,
160,Saya dari agustus 2024 sampai sekarang blm ada tanggapan pasang baru padahal :loudly_crying_face: wes ganti tahun min :loudly_crying_face:,agustus sampai sekarang belum ada tanggapan pasang,"['agustus', 'sampai', 'sekarang', 'belum', 'ada', 'tanggapan', 'pasang']",agustus sampai sekarang belum ada tanggap pasang,Pelayanan,Pelayanan,0.6219015263361298,Negatif,-1,-1,Negatif,
162,"Saya belum di survey"" Min, padahal sdh pengajuan lama","belum survey admin ,","['belum', 'survey', 'admin', ',']","belum survey admin ,",Pelayanan,Pelayanan,0.6664290352434235,Negatif,-1,-1,Negatif,
162,"Saya belum di survey"" Min, padahal sdh pengajuan lama",padahal sudah pengajuan lama,"['padahal', 'sudah', 'pengajuan', 'lama']",padahal sudah aju lama,Pemasangan,Pemasangan,0.551006108347857,Negatif,-1,-1,Negatif,
176,Halo min pdam saya warga babatan pratama sudah bayar pergantian keran air yang bocor tapi petugasnya sampai sekarang belum datang tolong dibantu ditindaklanjuti,tapi petugas sampai sekarang belum datang bantu tindak lanjut,"['tapi', 'petugas', 'sampai', 'sekarang', 'belum', 'datang', 'bantu', 'tindak', 'lanjut']",tapi tugas sampai sekarang belum datang bantu tindak lanjut,Pelayanan,Pelayanan,0.46227164552262556,Negatif,-1,-1,Negatif,
177,Air PDAM SBY pusat punyakku keruh  kyk air sumur. Padahal bayarnya larang tp airnya keruh bauk,air pdam surabaya pusat keruh air sumur .,"['air', 'pdam', 'surabaya', 'pusat', 'keruh', 'air', 'sumur', '.']",air pdam surabaya pusat keruh air sumur .,Air Kotor/Bau,Lainnya,0.4627906954521961,Negatif,-2,-1,Negatif,
