comment_id,comment_text,true_sentiment,type,cleaned_text
13,"Halo Kak selamat malam, maaf mengganggu waktunya, saya ingin menyampaikan keluhan terkait aliran air PDAM di wilayah tempat tinggal saya di daerah keputih makam Blk. E1. Sudah cukup lama air hanya mengalir pada malam hari, sekitar pukul 23.00 ke atas, dari pagi hingga sore hari sama sekali tidak ada aliran air. Hal ini tentu sangat menyulitkan aktivitas rumah tangga kami. Selain itu, tekanan air yang masuk ke rumah sangat kecil. Bahkan jika saya lupa menutup valve pipa, air di tandon bisa tersedot habis, diduga karena sistem distribusi air di lingkungan kami menggunakan skema seri, bukan paralel. Ini menyebabkan aliran air tidak stabil dan tidak tersedia selama 24 jam.",Negatif,Pernyataan,"halo kak selamat malam ,  maaf mengganggu waktunya ,  saya ingin menyampaikan keluhan terkait aliran air pdam di wilayah tempat tinggal saya di daerah keputih makam blk .  e .  sudah cukup lama air hanya mengalir pada malam hari ,  sekitar pukul  .  ke atas ,  dari pagi hingga sore hari sama sekali tidak ada aliran air .  hal ini tentu sangat menyulitkan aktivitas rumah tangga kami .  selain itu ,  tekanan air yang masuk ke rumah sangat kecil .  bahkan jika saya lupa menutup valve pipa ,  air di tandon bisa tersedot habis ,  diduga karena sistem distribusi air di lingkungan kami menggunakan skema seri ,  bukan paralel .  ini menyebabkan aliran air tidak stabil dan tidak tersedia selama jam . "
14,"Hari ini, barusan jam 14.45 WIB air mati di daerah Kebraon. Tolong petugas cek ke lapangan @pdamsuryasembada",Negatif,Pernyataan,"hari ini ,  barusan jam  .  wib air mati di daerah kebraon .  tolong petugas cek ke lapangan"
15,Tolong dicek @pdamsuryasembada  setro baru Utara air terlalu kecil sehingga tandon tidak mengisi tolong di tindak lanjuti terimakasih setro baru Utara 9,Negatif,Pernyataan,tolong dicek setro baru utara air terlalu kecil sehingga tandon tidak mengisi tolong di tindak lanjuti terimakasih setro baru utara
16,Maaf ni mau tanya kalau air pdam daerah surabaya wiyung kotor sminggu lebih. Tolong di cek kondisi tandon atau stok air. Trimakasih,Negatif,Pernyataan,maaf ni mau tanya kalau air pdam daerah surabaya wiyung kotor sminggu lebih .  tolong di cek kondisi tandon atau stok air .  trimakasih
17,"Halo, saya pakai cuma 4m3 setiap bulan, kenapa tagihan selalu 10m3 ya kak?",Netral,Pertanyaan,"halo ,  saya pakai cuma m setiap bulan ,  kenapa tagihan selalu m ya kak ? "
18,@pdamsuryasembada_ kenapa air d Kalijudan mati hari ini sampai sekarang blm klwr,Negatif,Pernyataan,kenapa air d kalijudan mati hari ini sampai sekarang blm klwr
19,Laporan ke PDAM tambah dikasih nomer pencatat meter...ditelp gaknisanwoi. Piye Iki tagihan ku gak sesuai meteran ....fast respon dong,Negatif,Pernyataan,laporan ke pdam tambah dikasih nomer pencatat meter  .  ditelp gaknisanwoi .  piye iki tagihan ku gak sesuai meteran  .  fast respon dong
20,"Petugas yg dtg ada bbrpa, jd bingung",Negatif,Pernyataan,"petugas yg dtg ada bbrpa ,  jd bingung"
21,Biasanya petugas pdam sdh ijin rt dan petugas keamanan,Netral,Pernyataan,biasanya petugas pdam sdh ijin rt dan petugas keamanan
22,"Kenapa ya PDAM saya itu dulunya tarifnya gol 1.3 tiba-tiba berubah jadi 2.1 padahal tetangga saya semuanya tarif gol nya 1.3 ada yg seperti saya tapi itu punya kos sedangkan saya saja rumah pribadi dan GK menyalurkan air ke tetangga rumah saya juga GK besar malahan ada lho dipintunya tulisan ""keluarga miskin"" yg dari pemerintah gara-gara hal itu tarif PDAM saya menjadi banyak setiap bulannya padahal saya sampai ngirit pakai air nya",Negatif,Pertanyaan,kenapa ya pdam saya itu dulunya tarifnya gol  .  tiba tiba berubah jadi  .  padahal tetangga saya semuanya tarif gol nya  .  ada yg seperti saya tapi itu punya kos sedangkan saya saja rumah pribadi dan gk menyalurkan air ke tetangga rumah saya juga gk besar malahan ada lho dipintunya tulisan keluarga miskin yg dari pemerintah gara gara hal itu tarif pdam saya menjadi banyak setiap bulannya padahal saya sampai ngirit pakai air nya
23,Air pdam makin hari makin kotor sekali.... Apa nggak d treatment? Masak perusahaan daerah air minum jangankan air nya di minum.... Mau mandi aja nggak layak.... Sudah dpasang filter 1 micron pun nggak ada hasil:crying_face:,Negatif,Pernyataan,air pdam makin hari makin kotor sekali  .  apa nggak d treatment ?  masak perusahaan daerah air minum jangankan air nya di minum  .  mau mandi aja nggak layak  .  sudah dpasang filter micron pun nggak ada hasil
24,Sakben maghrib banyune buko makane g mancur?? Opo sanyomu rusak gak kuat nyemprot sampek kapas gading madya?,Negatif,Pernyataan,sakben maghrib banyune buko makane g mancur  ?  opo sanyomu rusak gak kuat nyemprot sampek kapas gading madya ? 
25,"ngajuin surat keberatan tagihan dari bulan januari sampe sekarang gak ada tanggapan. tagihan naik gara2 meter pdam yg rusak, malah pelanggan yang harus bayar kelebihan tagihannya. sekelas perusahaan daerah koq gak profesional gini",Negatif,Pernyataan,"ngajuin surat keberatan tagihan dari bulan januari sampe sekarang gak ada tanggapan .  tagihan naik gara meter pdam yg rusak ,  malah pelanggan yang harus bayar kelebihan tagihannya .  sekelas perusahaan daerah koq gak profesional gini"
26,2 bulan tagihan air kenapa melonjak ya,Negatif,Pertanyaan,bulan tagihan air kenapa melonjak ya
27,Dari pagi tadi air nggak keluar.. parah parah,Negatif,Pernyataan,dari pagi tadi air nggak keluar  .  parah parah
28,"PDAM GA WARAS, TAGIHAN SETELAH HARI RAYA SELALU TIBA2 NAIK DRASTIS PETUGAS SALAH NYATAT HARUSNYA 14 MALAH DITULIS 114!! GILAK TAGIHANKU JADI 500RB BULAN INI GILA JGN NGAWUR LAH ORG DI RMH ISINYA CMN 2 ORG GAADA KEBOCORAN SAMA SEKALI, GAADA KOLAM RENANG AIR CMN DI PAKE BUAT MANDI SAKA CUCI BAJU KOK BISA TAGIHAN BULAN MEI KMRN 500RB GILS",Negatif,Pernyataan,"pdam ga waras ,  tagihan setelah hari raya selalu tiba naik drastis petugas salah nyatat harusnya malah ditulis  !  gilak tagihanku jadi rb bulan ini gila jgn ngawur lah org di rmh isinya cmn org gaada kebocoran sama sekali ,  gaada kolam renang air cmn di pake buat mandi saka cuci baju kok bisa tagihan bulan mei kmrn rb gils"
29,Tagihan yg sangat tidak masuk akal. Jika kelas tarif dipindah ya harus info dong ga langsung di naikkan harga. PDAM dr harga 60rb bulan ini masuk 190rb. Usaha kecil diperkampung untung pun hanya sedikit,Negatif,Pernyataan,tagihan yg sangat tidak masuk akal .  jika kelas tarif dipindah ya harus info dong ga langsung di naikkan harga .  pdam dr harga rb bulan ini masuk rb .  usaha kecil diperkampung untung pun hanya sedikit
30,"Yo sido tak ajak ngopi lak ketemu q,, bah orie bah gak_mbulet sikat ae langsung,, prei wong ruwet.!!!",Negatif,Pernyataan,"yo sido tak ajak ngopi lak ketemu q  ,  bah orie bah gak mbulet sikat ae langsung  ,  prei wong ruwet .   ! "
31,PDAM februari melonjak sekali ya admin.. biasany normal 500rbuan... Ini di cek hampir 700 ribuan.. mohon di bantu infonya.,Negatif,Pernyataan,pdam februari melonjak sekali ya admin  .  biasany normal rbuan  .  ini di cek hampir ribuan  .  mohon di bantu infonya . 
33,Aliran air di mojo segera ditindak lanjuti dari pada saya datangi kantornya :fire::fire::fire:,Negatif,Pernyataan,aliran air di mojo segera ditindak lanjuti dari pada saya datangi kantornya
34,"Air PDAM wilayah Utara Surabaya setro baru Utara sulit mengalir kecil ,,tolong di TL",Negatif,Pernyataan,"air pdam wilayah utara surabaya setro baru utara sulit mengalir kecil  ,  tolong di tl"
35,Mohon ditindak lanjuti @pdamsuryasembada,Netral,Pernyataan,mohon ditindak lanjuti
36,Cra hubungi gmna ya biar ada kejelasan.. sya sudah byar biaya penggantian stop kran. Ktanya nunggu 1-7hari smpai hari ke 7 blm ada petugas dtang.. tlong  pencerahan nya min:folded_hands:,Negatif,Pernyataan,cra hubungi gmna ya biar ada kejelasan  .  sya sudah byar biaya penggantian stop kran .  ktanya nunggu hari smpai hari ke blm ada petugas dtang  .  tlong pencerahan nya min
37,"gmn pemberitahuan resminya kalo memang peraturan kost 6 kamar dikenakan tarif 3.2A ? apa akal²an petugas aja, dikira kalo punya kost penghasilan banyak gitu?trs diganti dari 2.1 ake 3.2A ?ini cuma 6 kamar, bukan 10 atau 20 kamar,",Negatif,Pernyataan,"gmn pemberitahuan resminya kalo memang peraturan kost kamar dikenakan tarif  . a  ?  apa akal an petugas aja ,  dikira kalo punya kost penghasilan banyak gitu ? trs diganti dari  .  ake  . a  ? ini cuma kamar ,  bukan atau kamar , "
38,"Biaya Retribusi itu untuk apa ya,,,,",Netral,Pernyataan,"biaya retribusi itu untuk apa ya  , "
39,Ini apa ada perbaikan ta .ko' air klr di rmh sya kecil kdng gak.nyal.dr setelah bayar .,Negatif,Pernyataan,ini apa ada perbaikan ta  . ko air klr di rmh sya kecil kdng gak . nyal . dr setelah bayar  . 
40,"Saya sudah mengajukan penggantian meteran, karena meteran rumah yg saya tinggali macet/rusak, sejak tanggal 23 Januari 2025 dan sampai sekarang belum ada tindak lanjut. Dengan no pengaduan PM2025000000825. LALU TAGIHAN SAYA BULAN JANUARI METERAN AKHIR 136 TAPI DI TAGIHAN BULAN FEBRUARI METERAN AWAL 116 DAN METERAN AKHIR 136. PADAHAL SAYA SUDAH LAPOR METERAN SAYA MACET/RUSAK, TAPI MALAH CATATAN METERAN YG DIUBAH-UBAH",Negatif,Pernyataan,"saya sudah mengajukan penggantian meteran ,  karena meteran rumah yg saya tinggali macet rusak ,  sejak tanggal januari dan sampai sekarang belum ada tindak lanjut .  dengan no pengaduan pm .  lalu tagihan saya bulan januari meteran akhir tapi di tagihan bulan februari meteran awal dan meteran akhir  .  padahal saya sudah lapor meteran saya macet rusak ,  tapi malah catatan meteran yg diubah ubah"
41,"Halo kak, saya sudah pernah komplain disini, saya sudah melaporkan meteran rusak per tanggal 23 Januari 2025, petugas lapangan datang 2X untuk mengecek meteran. TAPI SAMPAI SEKARANG BELUM ADA PENGGANTIAN?????",Negatif,Pernyataan,"halo kak ,  saya sudah pernah komplain disini ,  saya sudah melaporkan meteran rusak per tanggal januari  ,  petugas lapangan datang x untuk mengecek meteran .  tapi sampai sekarang belum ada penggantian  ? "
42,"Info min sy juga sudah Pengaduan Pelanggan loh via Apk kok belum ada respon? Sy sempat DM dulu pernah juga tidak ada respon dialihkan ke Call Center TLP/WA, klo WA tidak ada layanan chat dg CS langsung?",Negatif,Pernyataan,"info min sy juga sudah pengaduan pelanggan loh via apk kok belum ada respon ?  sy sempat dm dulu pernah juga tidak ada respon dialihkan ke call center tlp wa ,  klo wa tidak ada layanan chat dg cs langsung ? "
43,"pak mau tanya no pelanggan 1032499 an Ny. Mustiani Wikanti Pulo Wonokromo Wetan 4 knp gol. tarifny berubah yg awalnya 2.1 skrg berubah jadi 3.2A knp gol. tarifny berubah yg awalnya 2.1 skrg berubah jadi 3.2A ini sebenarnya udah lama berubah, tapi saya baru diberitahu orang tua saya,. knp seenaknya merubah, ini memberatkan loh, alasan dirubah dulu krn petugas keliling meteran bilang krn rumah dibuat kost, alasan apa itu, saya harap kembalikan ke gol tarif 2.1 terima kasih",Netral,Pertanyaan,"pak mau tanya no pelanggan an ny .  mustiani wikanti pulo wonokromo wetan knp gol .  tarifny berubah yg awalnya  .  skrg berubah jadi  . a knp gol .  tarifny berubah yg awalnya  .  skrg berubah jadi  . a ini sebenarnya udah lama berubah ,  tapi saya baru diberitahu orang tua saya ,  .  knp seenaknya merubah ,  ini memberatkan loh ,  alasan dirubah dulu krn petugas keliling meteran bilang krn rumah dibuat kost ,  alasan apa itu ,  saya harap kembalikan ke gol tarif  .  terima kasih"
44,Alhamdulillah sore ini ( tgl 1742025) rumah saya di daerah Rungkut Menanggal Harapan sdh di ganti meterannya dan Sdh menerima bukti penggantian meteran. Terima kasih,Positif,Pernyataan,alhamdulillah sore ini tgl rumah saya di daerah rungkut menanggal harapan sdh di ganti meterannya dan sdh menerima bukti penggantian meteran .  terima kasih
45,Kelurahan benowo kapan kak???,Netral,Pertanyaan,kelurahan benowo kapan kak  ? 
46,"Kak saya warga Dukuh Kupang, PDAM yg mengalir kecil sekali,  dulu ga seperti ini, semenjak pengerjaan gorong2 yg di depan kampus WK itu malah makin parah air mengalir nya, Tp tagihan tetep banyak",Negatif,Pernyataan,"kak saya warga dukuh kupang ,  pdam yg mengalir kecil sekali ,  dulu ga seperti ini ,  semenjak pengerjaan gorong yg di depan kampus wk itu malah makin parah air mengalir nya ,  tp tagihan tetep banyak"
47,"Meter baru merk ONDA sering terjadi pengembunan sehingga agak sulit dibaca. Meter lama yg bahan dan kualitas lebih baik, mangapa harus diganti?",Negatif,Pernyataan,"meter baru merk onda sering terjadi pengembunan sehingga agak sulit dibaca .  meter lama yg bahan dan kualitas lebih baik ,  mangapa harus diganti ? "
48,"Saya sudah di kunjungi 3x oleh petugas pdam selama 3 tahun terakhir, yg katanya ""Meteran Bakal di Ganti yg Baru "" bahkan petugas ketiga yg datang saya titipkan pesan ""bukan hoax"" kan, karena terakhir petugas yg datang ternyata cuma omon omon saja. Jd saya sdh gk perduli, mau di ganti silahkan gak di ganti jg gpp. Toh selama ini meteran air sy lancar2 saja, walau agak berembun dan angkanya sulit terbaca. Toh selama ini tiap bulan bayar aor murah2 saja :folded_hands:",Negatif,Pernyataan,"saya sudah di kunjungi x oleh petugas pdam selama tahun terakhir ,  yg katanya meteran bakal di ganti yg baru bahkan petugas ketiga yg datang saya titipkan pesan bukan hoax kan ,  karena terakhir petugas yg datang ternyata cuma omon omon saja .  jd saya sdh gk perduli ,  mau di ganti silahkan gak di ganti jg gpp .  toh selama ini meteran air sy lancar saja ,  walau agak berembun dan angkanya sulit terbaca .  toh selama ini tiap bulan bayar aor murah saja"
49,Kelurahan bulak tidak ada ya?,Netral,Pertanyaan,kelurahan bulak tidak ada ya ? 
50,"Sore,air di daerah Pandegiling keruh berwarna coklat kak mulai kemaren 24 feb",Negatif,Pernyataan,"sore , air di daerah pandegiling keruh berwarna coklat kak mulai kemaren feb"
51,"@pdamsuryasembada ini omong kosong ya sepertinya, ditempat saya mulai jam 6 pagi sampai jam 19 air tidak normal, bahkan bisa tidak keluar sama sekali, saat meteran rusak, diambil rata2 penggunaan penghuni rumah, sangat tidak fair, kecuali kalau air pdam m",Negatif,Pernyataan,"ini omong kosong ya sepertinya ,  ditempat saya mulai jam pagi sampai jam air tidak normal ,  bahkan bisa tidak keluar sama sekali ,  saat meteran rusak ,  diambil rata penggunaan penghuni rumah ,  sangat tidak fair ,  kecuali kalau air pdam m"
52,"@pdamsuryasembada meteran saya sudah diganti, tapi air malah macet, apakah karena saya belum bayar? saya belum bayar karena ada LONJAKAN TAGIHAN TIDAK WAJAR  Saat meteran rusak , masak bisa sampai 2x tagihan rata-rata per Bulan, mohon segera ditindak lanj",Negatif,Pernyataan,"meteran saya sudah diganti ,  tapi air malah macet ,  apakah karena saya belum bayar ?  saya belum bayar karena ada lonjakan tagihan tidak wajar saat meteran rusak  ,  masak bisa sampai x tagihan rata rata per bulan ,  mohon segera ditindak lanj"
53,Min mau pengaduan gimana gak ada respon @pdamsuryasembada tapitagihan bln ini kok tbtb membengkak pdhal bertahun tahun gk pernah air sampai habis ratusan ribu,Negatif,Pertanyaan,min mau pengaduan gimana gak ada respon tapitagihan bln ini kok tbtb membengkak pdhal bertahun tahun gk pernah air sampai habis ratusan ribu
54,Daerah kutorejo pacet kok berbusa airnya dan berwarna seperti susu,Negatif,Pernyataan,daerah kutorejo pacet kok berbusa airnya dan berwarna seperti susu
55,Info min....air disekitaran Kebraon kok siang ini tdk mengalir ya??apakah ada perbaikan,Netral,Pernyataan,info min  .  air disekitaran kebraon kok siang ini tdk mengalir ya  ?  apakah ada perbaikan
56,Apakah pengantian meteran pdam masih gratis atau berbayar ?,Netral,Pertanyaan,apakah pengantian meteran pdam masih gratis atau berbayar  ? 
57,Pak maaf memang untuk daerah dukuh kupang timur apa aliran nya kecil nggeh,Negatif,Pertanyaan,pak maaf memang untuk daerah dukuh kupang timur apa aliran nya kecil nggeh
58,Sambikerep tdk ada?,Netral,Pertanyaan,sambikerep tdk ada ? 
59,Ok...terima kasih,Positif,Pernyataan,ok  .  terima kasih
60,"Wil dinoyo kel keputran air kok keluarny kecil ya,, ad apa ni",Negatif,Pertanyaan,"wil dinoyo kel keputran air kok keluarny kecil ya  ,  ad apa ni"
61,"Meteran air di rumah saya kok g ada ya,,",Negatif,Pertanyaan,"meteran air di rumah saya kok g ada ya  , "
62,"Hari ini, barusan jam 14.45 WIB air mati di daerah Kebraon. Tolong petugas cek ke lapangan @pdamsuryasembada",Negatif,Pernyataan,"hari ini ,  barusan jam  .  wib air mati di daerah kebraon .  tolong petugas cek ke lapangan"
63,Min knp ya kok air rumah saya tiba” pembayaran naek ya drastis bgt padahal rumah klo sering kluarin air cuma malem karena ngisi ke rumah atas biasanya saya kena nya 90k an gak sampe 100k ini semalem bayar kenanya hampir 150k ? Ada kenaikan harga apa gimana ? Klo emg ada knp gak ada info yaaa,Negatif,Pertanyaan,min knp ya kok air rumah saya tiba pembayaran naek ya drastis bgt padahal rumah klo sering kluarin air cuma malem karena ngisi ke rumah atas biasanya saya kena nya k an gak sampe k ini semalem bayar kenanya hampir k  ?  ada kenaikan harga apa gimana  ?  klo emg ada knp gak ada info yaaa
64,Sya mengajukan hanya disurvei smpai sekarang tdk ada tindakan. Bagaimana?,Negatif,Pernyataan,sya mengajukan hanya disurvei smpai sekarang tdk ada tindakan .  bagaimana ? 
65,Area siwalankerto apa bs pengajuan peremajaan meteran  @pdamsuryasembada ?,Netral,Pertanyaan,area siwalankerto apa bs pengajuan peremajaan meteran  ? 
66,"Pak air dirmh  saya kluarnya sangat kecil  sekali, lebih deras uang yg mengalir dri dompet saya, tolong  di tinjau pak kenapa airnya sangat kecil  sekali . Kebetulan saya tinggal di wonokromo @pdamsuryasembada",Negatif,Pernyataan,"pak air dirmh saya kluarnya sangat kecil sekali ,  lebih deras uang yg mengalir dri dompet saya ,  tolong di tinjau pak kenapa airnya sangat kecil sekali  .  kebetulan saya tinggal di wonokromo"
67,Air petemon 3 mati,Negatif,Pernyataan,air petemon mati
68,Sakben maghrib banyune buko makane g mancur?? Opo sanyomu rusak gak kuat nyemprot sampek kapas gading madya?,Negatif,Pertanyaan,sakben maghrib banyune buko makane g mancur  ?  opo sanyomu rusak gak kuat nyemprot sampek kapas gading madya ? 
69,Sudah 2 bulan semenjak METERAN DIGANTI BARU kenapa tagihan air dirumah saya jadi naik 6x lipat!! Parah banget sih!,Negatif,Pernyataan,sudah bulan semenjak meteran diganti baru kenapa tagihan air dirumah saya jadi naik x lipat  !  parah banget sih ! 
70,"Sore ... Mohon info untuk air dirumah saya keluar nya kecil sekali, dan kadang mati , biasanya keluar air di malam hari saja, tapi ini dr pagi sampe ke pagi lagi gak keluar airnya .?",Negatif,Pertanyaan,"sore  .  mohon info untuk air dirumah saya keluar nya kecil sekali ,  dan kadang mati  ,  biasanya keluar air di malam hari saja ,  tapi ini dr pagi sampe ke pagi lagi gak keluar airnya  .  ? "
71,Kebraon matek banyune woiii,Negatif,Pernyataan,kebraon matek banyune woiii
72,"Min didaerah kelurahan Pradah kalikendal airnya mati, keluar air hanya malam saja dan airnya pelan. Tolong segera ditindak lanjuti",Negatif,Pernyataan,"min didaerah kelurahan pradah kalikendal airnya mati ,  keluar air hanya malam saja dan airnya pelan .  tolong segera ditindak lanjuti"
73,Area bulak cumpat air e butek min. Tolong di cek dan diperbaiki kualitas airnya,Negatif,Pernyataan,area bulak cumpat air e butek min .  tolong di cek dan diperbaiki kualitas airnya
74,"Hallo min, apa ada gangguan aliran air daerah wonocolo?",Netral,Pertanyaan,"hallo min ,  apa ada gangguan aliran air daerah wonocolo ? "
75,"Siang min, saya baru aja  d ganti meteran airnya lah tpi kok malah sambungan ada yg bocor dan d kenai biaya 250rb, tetga saya juga bocor dan byar 250 rbu, inid perum pondok maritim balas klumprik",Negatif,Pernyataan,"siang min ,  saya baru aja d ganti meteran airnya lah tpi kok malah sambungan ada yg bocor dan d kenai biaya rb ,  tetga saya juga bocor dan byar rbu ,  inid perum pondok maritim balas klumprik"
76,"Aliran air daerah mojo tidak lancar, segera ditindaklanjuti daripada kantornya didatangi :fire::fire::fire:",Negatif,Pernyataan,"aliran air daerah mojo tidak lancar ,  segera ditindaklanjuti daripada kantornya didatangi"
77,"Saya mengajukan surat keberatan tagihan dari bulan januari 2025, meter PDAM rusak. Sampai sekarang tidak ada tanggapan. meter pdam yg rusak, tapi pelanggan yang harus bayar tagihannya?padahal air yang digunakan tidak sebanyak tagihannya.",Negatif,Pernyataan,"saya mengajukan surat keberatan tagihan dari bulan januari  ,  meter pdam rusak .  sampai sekarang tidak ada tanggapan .  meter pdam yg rusak ,  tapi pelanggan yang harus bayar tagihannya ? padahal air yang digunakan tidak sebanyak tagihannya . "
78,Diganti meteran baru tapi tagihan malah lbh banyak :person_facepalming:,Negatif,Pernyataan,diganti meteran baru tapi tagihan malah lbh banyak
79,Air mati seharian hidup malam ajja padahal kota besar air mati terus pembayaran naik 100%,Negatif,Pernyataan,air mati seharian hidup malam ajja padahal kota besar air mati terus pembayaran naik
80,Kalau cara pengajuannya pilih apa ya saya,Netral,Pertanyaan,kalau cara pengajuannya pilih apa ya saya
81,@pdamsuryasembada kelurahan perak barat ga ada yah min?,Netral,Pertanyaan,kelurahan perak barat ga ada yah min ? 
82,@pdamsuryasembada saya sdh kirim surat komplen ke Manajer kaliam sesuai arahan Spv Pak Agus. Katanya 3 hari kerja dihubjngi balik utk feedbacknya. Sampe skrg ga dihubungi tapi di lapangan org PDAM cabut meteran saya. Sy tlp ke Call Center PDAM Sby juga so,Negatif,Pernyataan,saya sdh kirim surat komplen ke manajer kaliam sesuai arahan spv pak agus .  katanya hari kerja dihubjngi balik utk feedbacknya .  sampe skrg ga dihubungi tapi di lapangan org pdam cabut meteran saya .  sy tlp ke call center pdam sby juga so
83,"Selamat pagi, mhon info wilayah Medokan ayu apa ada perbaikan ngge?kok airnya mati",Netral,Pertanyaan,"selamat pagi ,  mhon info wilayah medokan ayu apa ada perbaikan ngge ? kok airnya mati"
84,Rungkut kenapa gak ada Min ?,Netral,Pertanyaan,rungkut kenapa gak ada min  ? 
85,"Min, aliran air di daerah kejawan mati total, kemarin dan hari ini masih berlanjut, kira-kira apakah dampak dari peremajaan besar-besaran kah? kejawan tidak ada di list.",Negatif,Pernyataan,"min ,  aliran air di daerah kejawan mati total ,  kemarin dan hari ini masih berlanjut ,  kira kira apakah dampak dari peremajaan besar besaran kah ?  kejawan tidak ada di list . "
86,Pelayanan mantap,Positif,Pernyataan,pelayanan mantap
87,Mantab pdam,Positif,Pernyataan,mantab pdam
88,"kenapa airnya dalam 3hari ini kok keruh,hampir kyk air beras",Negatif,Pertanyaan,"kenapa airnya dalam hari ini kok keruh , hampir kyk air beras"
89,"Mohon info, Kalau Kran meter bocor kalau TIDAK diputar/dibuka penuh apa ini termasuk perbaikan",Netral,Pertanyaan,"mohon info ,  kalau kran meter bocor kalau tidak diputar dibuka penuh apa ini termasuk perbaikan"
90,"Daerah kecamatan Bulak min.. airnya kok keruh + banger.. ga iso gae masak + Korah"" min.. :person_facepalming:",Negatif,Pernyataan,daerah kecamatan bulak min  .  airnya kok keruh banger  .  ga iso gae masak korah min  . 
91,Air di kedungdoro keruh sekali sejak kemarin malam,Negatif,Pernyataan,air di kedungdoro keruh sekali sejak kemarin malam
92,Di rmh saya sdh 2 bulan ini tagihannya 100rb lbh namun penghuninya cima 2 org sehari kerja semua.... sedangkan kran mati tp meteran muternya kencang banget :see-no-evil_monkey:,Negatif,Pernyataan,di rmh saya sdh bulan ini tagihannya rb lbh namun penghuninya cima org sehari kerja semua  .  sedangkan kran mati tp meteran muternya kencang banget see no evil monkey
93,"Min, ini stop kran yg dirmh sdh aus penyebab usia, sdh diatas 5 th,  apa juga termasuk bisa diganti??",Netral,Pertanyaan,"min ,  ini stop kran yg dirmh sdh aus penyebab usia ,  sdh diatas th ,  apa juga termasuk bisa diganti  ? "
94,Apa ada perbaikan ini? Daerah candi lempung koq tidak ngalir :crying_face:,Netral,Pertanyaan,apa ada perbaikan ini ?  daerah candi lempung koq tidak ngalir
95,Air di Wonokromo kotor butek sedari kemarin sore,Negatif,Pernyataan,air di wonokromo kotor butek sedari kemarin sore
96,"Daerah tegalsari air PDAM ga layak pakai seperti air sungai sudah 2hr ini,tapi sekarang airnya mati",Negatif,Pernyataan,"daerah tegalsari air pdam ga layak pakai seperti air sungai sudah hr ini , tapi sekarang airnya mati"
97,"Mohon ijin menginfokan. Mulai tadi pagi air pdam di daerah Krukah Lama, Kel. Ngagel Rejo, keruh pekat. Mohon bisa segera ditindaklanjuti. Terimakasih.",Negatif,Pernyataan,"mohon ijin menginfokan .  mulai tadi pagi air pdam di daerah krukah lama ,  kel .  ngagel rejo ,  keruh pekat .  mohon bisa segera ditindaklanjuti .  terimakasih . "
98,Air knp keruhhhh sekaliii.... :crying_face:,Negatif,Pertanyaan,air knp keruhhhh sekaliii  . 
