comment_text,true_sentiment,type
"ngajuin surat keberatan tagihan dari bulan januari sampe sekarang gak ada tanggapan. tagihan naik gara2 meter pdam yg rusak, malah pelanggan yang harus bayar kelebihan tagihannya. sekelas perusahaan daerah koq gak profesional gini",Negatif,Pernyataan
2 bulan tagihan air kenapa melonjak ya,Negatif,Pertanyaan
Dari pagi tadi air nggak keluar.. parah parah,Negatif,Pernyataan
"PDAM GA WARAS, TAGIHAN SETELAH HARI RAYA SELALU TIBA2 NAIK DRASTIS PETUGAS SALAH NYATAT HARUSNYA 14 MALAH DITULIS 114!! GILAK TAGIHANKU JADI 500RB BULAN INI GILA JGN NGAWUR LAH ORG DI RMH ISINYA CMN 2 ORG GAADA KEBOCORAN SAMA SEKALI, GAADA KOLAM RENANG AIR CMN DI PAKE BUAT MANDI SAKA CUCI BAJU KOK BISA TAGIHAN BULAN MEI KMRN 500RB GILS",Negatif,Pernyataan
Tagihan yg sangat tidak masuk akal. Jika kelas tarif dipindah ya harus info dong ga langsung di naikkan harga. PDAM dr harga 60rb bulan ini masuk 190rb. Usaha kecil diperkampung untung pun hanya sedikit,Negatif,Pernyataan
"Yo sido tak ajak ngopi lak ketemu q,, bah orie bah gak_mbulet sikat ae langsung,, prei wong ruwet.!!!",Negatif,Pernyataan
PDAM februari melonjak sekali ya admin.. biasany normal 500rbuan... Ini di cek hampir 700 ribuan.. mohon di bantu infonya.,Negatif,Pernyataan
@resitadirgakusuma :crying_face:,Netral,Pernyataan
Aliran air di mojo segera ditindak lanjuti dari pada saya datangi kantornya :fire::fire::fire:,Negatif,Pernyataan
"Air PDAM wilayah Utara Surabaya setro baru Utara sulit mengalir kecil ,,tolong di TL",Negatif,Pernyataan
Mohon ditindak lanjuti @pdamsuryasembada,Netral,Pernyataan
Cra hubungi gmna ya biar ada kejelasan.. sya sudah byar biaya penggantian stop kran. Ktanya nunggu 1-7hari smpai hari ke 7 blm ada petugas dtang.. tlong  pencerahan nya min:folded_hands:,Negatif,Pernyataan
"gmn pemberitahuan resminya kalo memang peraturan kost 6 kamar dikenakan tarif 3.2A ? apa akal²an petugas aja, dikira kalo punya kost penghasilan banyak gitu?trs diganti dari 2.1 ake 3.2A ?ini cuma 6 kamar, bukan 10 atau 20 kamar,",Negatif,Pernyataan
"Biaya Retribusi itu untuk apa ya,,,,",Netral,Pernyataan
Ini apa ada perbaikan ta .ko' air klr di rmh sya kecil kdng gak.nyal.dr setelah bayar .,Negatif,Pernyataan
"Saya sudah mengajukan penggantian meteran, karena meteran rumah yg saya tinggali macet/rusak, sejak tanggal 23 Januari 2025 dan sampai sekarang belum ada tindak lanjut. Dengan no pengaduan PM2025000000825. LALU TAGIHAN SAYA BULAN JANUARI METERAN AKHIR 136 TAPI DI TAGIHAN BULAN FEBRUARI METERAN AWAL 116 DAN METERAN AKHIR 136. PADAHAL SAYA SUDAH LAPOR METERAN SAYA MACET/RUSAK, TAPI MALAH CATATAN METERAN YG DIUBAH-UBAH",Negatif,Pernyataan
"Halo kak, saya sudah pernah komplain disini, saya sudah melaporkan meteran rusak per tanggal 23 Januari 2025, petugas lapangan datang 2X untuk mengecek meteran. TAPI SAMPAI SEKARANG BELUM ADA PENGGANTIAN?????",Negatif,Pernyataan
"Info min sy juga sudah Pengaduan Pelanggan loh via Apk kok belum ada respon? Sy sempat DM dulu pernah juga tidak ada respon dialihkan ke Call Center TLP/WA, klo WA tidak ada layanan chat dg CS langsung?",Negatif,Pernyataan
"pak mau tanya no pelanggan 1032499 an Ny. Mustiani Wikanti Pulo Wonokromo Wetan 4 knp gol. tarifny berubah yg awalnya 2.1 skrg berubah jadi 3.2A knp gol. tarifny berubah yg awalnya 2.1 skrg berubah jadi 3.2A ini sebenarnya udah lama berubah, tapi saya baru diberitahu orang tua saya,. knp seenaknya merubah, ini memberatkan loh, alasan dirubah dulu krn petugas keliling meteran bilang krn rumah dibuat kost, alasan apa itu, saya harap kembalikan ke gol tarif 2.1 terima kasih",Netral,Pertanyaan
Alhamdulillah sore ini ( tgl 1742025) rumah saya di daerah Rungkut Menanggal Harapan sdh di ganti meterannya dan Sdh menerima bukti penggantian meteran. Terima kasih,Positif,Pernyataan
Kelurahan benowo kapan kak???,Netral,Pertanyaan
"Kak saya warga Dukuh Kupang, PDAM yg mengalir kecil sekali,  dulu ga seperti ini, semenjak pengerjaan gorong2 yg di depan kampus WK itu malah makin parah air mengalir nya, Tp tagihan tetep banyak",Negatif,Pernyataan
"Meter baru merk ONDA sering terjadi pengembunan sehingga agak sulit dibaca. Meter lama yg bahan dan kualitas lebih baik, mangapa harus diganti?",Negatif,Pernyataan
"Saya sudah di kunjungi 3x oleh petugas pdam selama 3 tahun terakhir, yg katanya ""Meteran Bakal di Ganti yg Baru "" bahkan petugas ketiga yg datang saya titipkan pesan ""bukan hoax"" kan, karena terakhir petugas yg datang ternyata cuma omon omon saja. Jd saya sdh gk perduli, mau di ganti silahkan gak di ganti jg gpp. Toh selama ini meteran air sy lancar2 saja, walau agak berembun dan angkanya sulit terbaca. Toh selama ini tiap bulan bayar aor murah2 saja :folded_hands:",Negatif,Pernyataan
Kelurahan bulak tidak ada ya?,Netral,Pertanyaan
"Sore,air di daerah Pandegiling keruh berwarna coklat kak mulai kemaren 24 feb",Negatif,Pernyataan
"@pdamsuryasembada ini omong kosong ya sepertinya, ditempat saya mulai jam 6 pagi sampai jam 19 air tidak normal, bahkan bisa tidak keluar sama sekali, saat meteran rusak, diambil rata2 penggunaan penghuni rumah, sangat tidak fair, kecuali kalau air pdam m",Negatif,Pernyataan
"@pdamsuryasembada meteran saya sudah diganti, tapi air malah macet, apakah karena saya belum bayar? saya belum bayar karena ada LONJAKAN TAGIHAN TIDAK WAJAR  Saat meteran rusak , masak bisa sampai 2x tagihan rata-rata per Bulan, mohon segera ditindak lanj",Negatif,Pernyataan
Min mau pengaduan gimana gak ada respon @pdamsuryasembada tapitagihan bln ini kok tbtb membengkak pdhal bertahun tahun gk pernah air sampai habis ratusan ribu,Negatif,Pertanyaan
Daerah kutorejo pacet kok berbusa airnya dan berwarna seperti susu,Negatif,Pernyataan
Info min....air disekitaran Kebraon kok siang ini tdk mengalir ya??apakah ada perbaikan,Netral,Pernyataan
Apakah pengantian meteran pdam masih gratis atau berbayar ?,Netral,Pertanyaan
Pak maaf memang untuk daerah dukuh kupang timur apa aliran nya kecil nggeh,Negatif,Pertanyaan
Sambikerep tdk ada?,Netral,Pertanyaan
Ok...terima kasih,Positif,Pernyataan
"Wil dinoyo kel keputran air kok keluarny kecil ya,, ad apa ni",Negatif,Pertanyaan
"Meteran air di rumah saya kok g ada ya,,",Negatif,Pertanyaan
"Hari ini, barusan jam 14.45 WIB air mati di daerah Kebraon. Tolong petugas cek ke lapangan @pdamsuryasembada",Negatif,Pernyataan
Min knp ya kok air rumah saya tiba” pembayaran naek ya drastis bgt padahal rumah klo sering kluarin air cuma malem karena ngisi ke rumah atas biasanya saya kena nya 90k an gak sampe 100k ini semalem bayar kenanya hampir 150k ? Ada kenaikan harga apa gimana ? Klo emg ada knp gak ada info yaaa,Negatif,Pertanyaan
Sya mengajukan hanya disurvei smpai sekarang tdk ada tindakan. Bagaimana?,Negatif,Pernyataan
Area siwalankerto apa bs pengajuan peremajaan meteran  @pdamsuryasembada ?,Netral,Pertanyaan
"Pak air dirmh  saya kluarnya sangat kecil  sekali, lebih deras uang yg mengalir dri dompet saya, tolong  di tinjau pak kenapa airnya sangat kecil  sekali . Kebetulan saya tinggal di wonokromo @pdamsuryasembada",Negatif,Pernyataan
Air petemon 3 mati,Negatif,Pernyataan
Sakben maghrib banyune buko makane g mancur?? Opo sanyomu rusak gak kuat nyemprot sampek kapas gading madya?,Negatif,Pertanyaan
Sudah 2 bulan semenjak METERAN DIGANTI BARU kenapa tagihan air dirumah saya jadi naik 6x lipat!! Parah banget sih!,Negatif,Pernyataan
"Sore ... Mohon info untuk air dirumah saya keluar nya kecil sekali, dan kadang mati , biasanya keluar air di malam hari saja, tapi ini dr pagi sampe ke pagi lagi gak keluar airnya .?",Negatif,Pertanyaan
Kebraon matek banyune woiii,Negatif,Pernyataan
"Min didaerah kelurahan Pradah kalikendal airnya mati, keluar air hanya malam saja dan airnya pelan. Tolong segera ditindak lanjuti",Negatif,Pernyataan
Area bulak cumpat air e butek min. Tolong di cek dan diperbaiki kualitas airnya,Negatif,Pernyataan
"Hallo min, apa ada gangguan aliran air daerah wonocolo?",Netral,Pertanyaan
"Siang min, saya baru aja  d ganti meteran airnya lah tpi kok malah sambungan ada yg bocor dan d kenai biaya 250rb, tetga saya juga bocor dan byar 250 rbu, inid perum pondok maritim balas klumprik",Negatif,Pernyataan
"Aliran air daerah mojo tidak lancar, segera ditindaklanjuti daripada kantornya didatangi :fire::fire::fire:",Negatif,Pernyataan
"Saya mengajukan surat keberatan tagihan dari bulan januari 2025, meter PDAM rusak. Sampai sekarang tidak ada tanggapan. meter pdam yg rusak, tapi pelanggan yang harus bayar tagihannya?padahal air yang digunakan tidak sebanyak tagihannya.",Negatif,Pernyataan
Diganti meteran baru tapi tagihan malah lbh banyak :person_facepalming:,Negatif,Pernyataan
Air mati seharian hidup malam ajja padahal kota besar air mati terus pembayaran naik 100%,Negatif,Pernyataan
Kalau cara pengajuannya pilih apa ya saya,Netral,Pertanyaan
@pdamsuryasembada kelurahan perak barat ga ada yah min?,Netral,Pertanyaan
@pdamsuryasembada saya sdh kirim surat komplen ke Manajer kaliam sesuai arahan Spv Pak Agus. Katanya 3 hari kerja dihubjngi balik utk feedbacknya. Sampe skrg ga dihubungi tapi di lapangan org PDAM cabut meteran saya. Sy tlp ke Call Center PDAM Sby juga so,Negatif,Pernyataan
"Selamat pagi, mhon info wilayah Medokan ayu apa ada perbaikan ngge?kok airnya mati",Netral,Pertanyaan
Rungkut kenapa gak ada Min ?,Netral,Pertanyaan
"Min, aliran air di daerah kejawan mati total, kemarin dan hari ini masih berlanjut, kira-kira apakah dampak dari peremajaan besar-besaran kah? kejawan tidak ada di list.",Negatif,Pernyataan
Pelayanan mantap,Positif,Pernyataan
Mantab pdam,Positif,Pernyataan
"kenapa airnya dalam 3hari ini kok keruh,hampir kyk air beras",Negatif,Pertanyaan
"Mohon info, Kalau Kran meter bocor kalau TIDAK diputar/dibuka penuh apa ini termasuk perbaikan",Netral,Pertanyaan
"Daerah kecamatan Bulak min.. airnya kok keruh + banger.. ga iso gae masak + Korah"" min.. :person_facepalming:",Negatif,Pernyataan
Air di kedungdoro keruh sekali sejak kemarin malam,Negatif,Pernyataan
Di rmh saya sdh 2 bulan ini tagihannya 100rb lbh namun penghuninya cima 2 org sehari kerja semua.... sedangkan kran mati tp meteran muternya kencang banget :see-no-evil_monkey:,Negatif,Pernyataan
"Min, ini stop kran yg dirmh sdh aus penyebab usia, sdh diatas 5 th,  apa juga termasuk bisa diganti??",Netral,Pertanyaan
Apa ada perbaikan ini? Daerah candi lempung koq tidak ngalir :crying_face:,Netral,Pertanyaan
Air di Wonokromo kotor butek sedari kemarin sore,Negatif,Pernyataan
"Daerah tegalsari air PDAM ga layak pakai seperti air sungai sudah 2hr ini,tapi sekarang airnya mati",Negatif,Pernyataan
"Mohon ijin menginfokan. Mulai tadi pagi air pdam di daerah Krukah Lama, Kel. Ngagel Rejo, keruh pekat. Mohon bisa segera ditindaklanjuti. Terimakasih.",Negatif,Pernyataan
Air knp keruhhhh sekaliii.... :crying_face:,Negatif,Pertanyaan
"Untuk penggantian Meter diminta bayar vja Indomart, stlah bayar via Indomart katae H+1 br msk, stlah H+1 msk br di Jadwalkan kunjungan. LUAMA, Air sudah bocor deras yg nanggu pemilik rumah. Knp lama skali prosesnya?",Negatif,Pertanyaan
Min manyar sabrangan air nya kotor,Negatif,Pernyataan
Assalamualaikum min mau tanya jambangan dan Bibis apakah airnya mati,Netral,Pertanyaan
:clapping_hands:,Netral,Pernyataan
"Stop kran pdam saya rusak usia sudah 5 tahun lebih, meteran pdam muter terus tanpa dipakai rugi saya. Saya wa pdam sby untuk perbaikan stop kran saya di kenakan biaya Rp 197.580,- Apa iya bayar? :clapping_hands:",Negatif,Pertanyaan
Ketintang airnya mati,Negatif,Pernyataan
itu kelurahan Wonorejo Rungkut kah min?,Netral,Pertanyaan
benowo kpan min,Netral,Pertanyaan
"Sejak perbaikan pipa bocor di made, sampai sekrang kok air kadang ngalir kecil kadang ga kluar. Ini gimana min apa masih ada kendala?",Negatif,Pertanyaan
Kalo wonocolo tdk gratis kah?,Netral,Pertanyaan
Wilayah tanjung perak apakah sedang ada perbaikan?,Netral,Pertanyaan
Putat jaya kok gak ikut ya?,Netral,Pertanyaan
"halo @pdamsuryasembada  sy ada wa tp slow respon ya, nomor call centernya jg, operatornya sibuk terus, sedangkan air ditempat saya mati dari semalam, apa ada solusi untuk pengaduan saya",Negatif,Pertanyaan
kalau kran meteran bocor apakah termasuk ?,Netral,Pertanyaan
"Air nya agak keruh, mgkin next ada peremajaan saluran air dr pdam kaj ?",Negatif,Pertanyaan
Min @pdamsuryasembada  sy sdh WA menu apa yg di pilih?,Netral,Pertanyaan
Kelurahan Sambikerep min??? Wes 30 THN meteraku blum diremajakan...,Netral,Pertanyaan
D tunggu area sby selatan y gaes,Netral,Pernyataan
Kalau kelurahan baratajaya tidak ada kah?,Netral,Pertanyaan
Pradah Kalikendal ngga masuk area peremajaan min?,Netral,Pertanyaan
Dukuh pakis kok gak ada min?,Netral,Pertanyaan
Kelurahan morokrembangan kok tidak ada,Netral,Pertanyaan
kok Sidotopo tidak ada min??,Netral,Pertanyaan
"Info donk air ditempat saya mati dari kemaren,,area sememi bandarejo gg candi",Negatif,Pertanyaan
Utk wilayah Pandaan belakang masjid chengho ada ga peremajaan juga utk meteran Air,Netral,Pertanyaan
yah kelurahanku ga ada min:crying_face: dan udah lebih dari 5 tahun dan kaca berembun burem,Negatif,Pertanyaan
Caranya gmn min untk mendapatkan penembakan meter air,Netral,Pertanyaan
Sudah laporan ke kantor sampai skrg 2 minggu blom ditanggapin min @pdamsuryasembada,Negatif,Pertanyaan
pk minto tolong akor km PDAM GK keluar  4 hari pk kami ingin mengganti air menyalurkan air dr sumur kami aja pk GK usah pake PDAM pk kalua kami di sini GK bisa mandi gimana pk tolong banyu kami pk :folded_hands_light_skin_tone::folded_hands_light_skin_tone::folded_hands_light_skin_tone::folded_hands_light_skin_tone::folded_hands_light_skin_tone::folded_hands_light_skin_tone::pleading_face::pleading_face::pleading_face::pleading_face::pleading_face::pleading_face::pleading_face::pleading_face::pleading_face::pleading_face::pleading_face::folded_hands_light_skin_tone::folded_hands_light_skin_tone::folded_hands_light_skin_tone::folded_hands_light_skin_tone::folded_hands_light_skin_tone::folded_hands_light_skin_tone::folded_hands_light_skin_tone::folded_hands_light_skin_tone::folded_hands_light_skin_tone::folded_hands_light_skin_tone::folded_hands_light_skin_tone::folded_hands_light_skin_tone::folded_hands_light_skin_tone::folded_hands_light_skin_tone::folded_hands_light_skin_tone::folded_hands_light_skin_tone::folded_hands_light_skin_tone::folded_hands_light_skin_tone::loudly_crying_face::loudly_crying_face::loudly_crying_face::loudly_crying_face::loudly_crying_face::loudly_crying_face::loudly_crying_face::loudly_crying_face::loudly_crying_face::loudly_crying_face::loudly_crying_face::loudly_crying_face:,Negatif,Pernyataan
Info lowongan nyaa dong minnn,Netral,Pertanyaan
Kalau untuk menaikkan meter air yg posisinya lebih rendah dari jalan apakah bisa min?,Netral,Pertanyaan
Daerah setro baru gang 3 pak meter airnya 60 cm di bawah permukaan tanah setelah adanya pavingisasi jadi gelap dan susah saat pengecekan tiap bulan,Negatif,Pernyataan
:fire:,Netral,Pernyataan
:fire:,Netral,Pernyataan
:fire:,Netral,Pernyataan
Kel simolawang  air PDAM mati hidup malam ajja sudah pengaduan tapi tetep ajja gk berubah bayarnya naik 100%,Negatif,Pernyataan
Kelurahan  Sukomanunggal kapan ya ?,Netral,Pertanyaan
Pdam daerah kutorejo kok berbusa ya min,Negatif,Pernyataan
Air disidosermo apa ada perbaikan ya? Koo ditempat saya mengalir nya kecil ya . Dlu siang aja bisa deras ini kok pelan sekali muter meteran airnya. Ngisi tandon jadi lambat.,Negatif,Pernyataan
@hafidalfath_,Netral,Pernyataan
"gmn pemberitahuan resminya kalo memang peraturan kost 6 kamar dikenakan tarif 3.2A ? apa akal²an petugas aja, dikira kalo punya kost penghasilan banyak gitu?trs diganti dari 2.1 ke 3.2A ?ini cuma 6 kamar, bukan 10 atau 20 kamar,",Negatif,Pertanyaan
@pdamsuryasembada kenapa tidak sekalian seluruh wilayah surabaya? rumah saya sudah berkali2 complain volume kubik yang tidak wajar dan solusinya sudah 3x disuruh ganti kran / valve dan berbayar pula. meteran air bermasalah itu tanggung jawab pdam atau pel,Negatif,Pertanyaan
Dulu tarif saya ini golongan 1.3 pas ada perubahan tarif kenapa tiba-tiba di ubah menjadi 2.1 padahal rumah saya juga ada tulisan KELUARGA MISKIN yang dari pemerintah lantai juga dari tanah dan juga rumah saya tidak tingkat atau berlantai 2 juga tidak dibuat kos atau kontrakan padahal tetangga saya semuanya tarif golongannya 1.3 emang ada yg 2.1 itupun dibuat kos atau kontrak sedangkan saya kan tidak kalau lapor ke PDAM ujung-ujungnya nanti petugas kemari di cek disuruh ganti meteran yang bayarnya juga gak murah tolong dong di cek petugas keliling meteran itu kenapa sih harus di ubah kan saya bayar nya juga jadi mahal paling sedikit saya kena itu 100 RB yang tetangga saya kena padahal rata2 cuma 20 ribu atau 25 ribu apalagi ini untuk daerah tambak asri yang notaben kebanyakan tarifnya golongan 1.3,Negatif,Pernyataan
BAYAR HUTANG @glen_probity,Negatif,Pernyataan
"Saya sudah bayar untuk penggantian meteran air yg hilang,tapi tidak dipasang2 alasannya karena stop kran nya kosong..dan ditanyai kira2 sampe kapan tapi tdk tau..disuruh beli sendiri..sudah bayar denda meteran hilang mahal ini disuruh beli stop kran sendiri.gmn ya pelayanannya ini:smirking_face: @pdamsuryasembada",Negatif,Pernyataan
Min kalau untuk wilayah sidoarjo apa promo jg kah?,Netral,Pertanyaan
"setelah daftar, harus nunggu berapa lama ya kak untuk pemasangannya dan siap di gunakan?",Netral,Pertanyaan
Kalo di depan rumah Masi belum ada pipa gmn min,Netral,Pertanyaan
Min daftar langsung di kantor bisa ya min?,Netral,Pertanyaan
Min...klo persyaratan tdk lengkap gmn min,Netral,Pertanyaan
"Kenapa laporan by WhatsApp PDAM  GK ada jawaban ya kak, padahal saya sudah daftar mau tanya soal kekurangan persyaratan pasang baru",Negatif,Pernyataan
"Min kalau listrik 5000 watt biayanya yh 1,7 jt ya?",Netral,Pertanyaan
Brpa lama pemasangan jika sdah melakukan pembayaran,Netral,Pertanyaan
Diskon itu apakah include dengan pipa dan meterannya?,Netral,Pertanyaan
Maaf min untuk PSB 900watt ini biayanya 600rb ?? Bukan 300rb ya??,Netral,Pertanyaan
Min kalau ngontrak rumah belum dipasang pdam caranya gimana?karena rumah yang dikontrak warisan,Netral,Pertanyaan
Daerah mojo ditindaklanjuti gak ada air mengalir daripada saya datangi kantornya,Negatif,Pernyataan
minnn air dirumah saya kenapa kok gk nyalah ya takut ada kebocoran min,Netral,Pertanyaan
"Min klo uda daftar dan data2 udah lengkap, proses selanjutnya gmn? Msh nunggu konfirmasi lagi kah dari wa call center?",Netral,Pertanyaan
Min kalau jumlah rumah ada 2 tapi sertifikasi jadi satu bisa gak min,Netral,Pertanyaan
"Untuk daya listrik 900watt, itu harganya jadi 300rb atau diskonnya yang 300rb ? Mohon penjelasannya",Netral,Pertanyaan
Saya dari agustus 2024 sampai sekarang blm ada tanggapan pasang baru padahal :loudly_crying_face: wes ganti tahun min :loudly_crying_face:,Negatif,Pernyataan
Saya kan mau bangun rumah dan blm ada listrik nya..apa bs,Netral,Pertanyaan
"Saya belum di survey"" Min, padahal sdh pengajuan lama",Negatif,Pernyataan
Maaf min klw pindah meteran kena biaya brpa ea soalnya meteran airku ada didepan rumahnya orang.. Klw dipindah kerumah ku jaraknya 10 meter,Netral,Pertanyaan
Berlaku area surabaya saja apa semua daerah ya min?,Netral,Pertanyaan
Maaf min mau tanya apa benar PSB untuk daya listrik 1300 watt biayanya 600 ribu,Netral,Pertanyaan
Untuk area bekasi juga diskon min??,Netral,Pertanyaan
Kalau nama pemilik tanah dan pemasang PDAM beda nama apakah bisa,Netral,Pertanyaan
Knp pembayaran pdam melalui gojek dan grab kok gak bisa terus,Negatif,Pertanyaan
"Min dari daftar sampai proses pemasangan,nunggu nya berapa lama?",Netral,Pertanyaan
Tambakwedi Baru gak keluar air sama sekali dari tadi pagi,Negatif,Pernyataan
Daerah simo gunung kok dari kemaren air mengecil sampai tidak keluar ada apaa yaaa,Negatif,Pertanyaan
Simolangit gak ada air nya piye PDAM iki,Negatif,Pernyataan
:clapping_hands: Keren,Positif,Pernyataan
Duta lingkungan:clapping_hands: @arrovaicals :person_with_crown::raising_hands:,Netral,Pernyataan
"Halo selamat siang kak admin pdam, mengenai pengaduan yg saya sampaikan 25 april 2025 melalui DM. Sampai hari ini belum diberikan tindak lanjut nihh. Tolong dong diberikan tindak lanjutnya. Dari 25 april 2025 sampai komen ini ditulis 13 mei 2025. Belum ada tindak lanjut lho. Mohon dong.",Negatif,Pernyataan
Halo min pdam saya warga babatan pratama sudah bayar pergantian keran air yang bocor tapi petugasnya sampai sekarang belum datang tolong dibantu ditindaklanjuti,Negatif,Pernyataan
Air PDAM SBY pusat punyakku keruh  kyk air sumur. Padahal bayarnya larang tp airnya keruh bauk,Negatif,Pernyataan
"Maaf itu 1,5 juta popok per hari bukan pertahun :raising_hands:",Netral,Pernyataan
Min ini kenapa di kalijudan 9 air nya nyala kecil sekali?:folded_hands_medium-light_skin_tone:,Negatif,Pertanyaan
Air pdam kebonsari jambangan keruh,Negatif,Pernyataan
"Yuk berganti ke popok pakai ulang dan pembalut ramah lingkungan, bersama @bumbi_id",Positif,Pernyataan
Kok kosong.....,Negatif,Pernyataan
Info loker pdam min,Netral,Pernyataan
kok infonya kembali buka tanggal 2 mei min?,Netral,Pertanyaan
maaf kok buka Lg tgl 2 mei.  kak:folded_hands:,Netral,Pertanyaan
Air PDAM di Perumahan Gunungsari Indah bisa mengalir nirmal jam berapa. Mohon segera direspon. Terima kasih,Negatif,Pernyataan
Srby utara udah 2hari gak nyala:crying_face: airnya,Negatif,Pernyataan
Surabaya utara,Netral,Pernyataan
Lokasi e dmn min,Netral,Pertanyaan
Lah komen saya kok di hapus... Tolong di cek PDAM di daerah simolangit gak ada air ada 2 hari. Malah di hapus komentar saya. Laporan wa gak dihiraukan,Negatif,Pernyataan
"Kualitas airnya perlu dicek dan dikontrol...jangan cuman datang cek meteran saja....dan jangan cari untung saja gede perhatikan kemampuan konsumennya,....",Negatif,Pernyataan
:clapping_hands:,Netral,Pernyataan
:fire::fire:,Netral,Pernyataan
:raising_hands::cherry_blossom:,Netral,Pernyataan
:red_heart:,Netral,Pernyataan
Sua Sanctitas,Netral,Pernyataan
Alhamdulillah semoga menang kotaku tercinta @Surockboyo menang … aamiin :palms_up_together:,Positif,Pernyataan
:face_with_rolling_eyes:,Netral,Pernyataan
TOLONG BU @y4n_tweet si @glen_probity SURUH BAYAR HUTANG PINJOLNYA,Negatif,Pernyataan
Kenapa tlpn bebas pulsa suara kita tdk bs terdengar operator pdam..hola halo hola halo aja,Negatif,Pernyataan
:clapping_hands:,Netral,Pernyataan
Nice info,Netral,Pernyataan
lewat aplikasi CIS ngga ada promo?,Netral,Pertanyaan
aku yang udah bayar duluan tgl 1 kemarin hanya bisa bersabarrrrr :slightly_smiling_face::slightly_smiling_face::slightly_smiling_face::slightly_smiling_face::slightly_smiling_face::slightly_smiling_face::slightly_smiling_face:,Negatif,Pernyataan
Masang PDAM itu apakah sifatnya WAJIB min,Netral,Pertanyaan
Apanya yg ada promo kak,Netral,Pertanyaan
