comment_text;final_data;predicted_aspect;similarity_score
PDAM GA WARAS, TAGIHAN SETELAH HARI RAYA SELALU TIBA2 NAIK DRASTIS PETUGAS SALAH NYATAT HARUSNYA 14 MALAH DITULIS 114!! GILAK TAGIHANKU JADI 500RB BULAN INI GILA JGN NGAWUR LAH ORG DI RMH ISINYA CMN 2 ORG GAADA KEBOCORAN SAMA SEKALI, GAADA KOLAM RENANG AIR CMN DI PAKE BUAT MANDI SAKA CUCI BAJU KOK BISA TAGIHAN BULAN MEI KMRN 500RB GILS;pdam ga waras tagih raya drastis tugas salah nyatat tulis gilak tagih gila bicara sembarang rumah isi cuman tidak ada bocor tidak ada kolam renang air cuman pakai mandi saka cuci baju tagih mei gils;Harga;0.09590353188570402
Tagihan yg sangat tidak masuk akal. Jika kelas tarif dipindah ya harus info dong ga langsung di naikkan harga. PDAM dr harga 60rb bulan ini masuk 190rb. Usaha kecil diperkampung untung pun hanya sedikit;tagih tidak masuk akal kelas tarif pindah informasi ga naik harga pdam harga masuk usaha kecil kampung untung;Harga;0.110840351248581
Yo sido tak ajak ngopi lak ketemu q,, bah orie bah gak_mbulet sikat ae langsung,, prei wong ruwet.!!!;sido tidak ajak ngopi ketemu q bah orie bah gakmbulet sikat aja prei ruwet;Meteran (Macet/Bermasalah);0.016515834105483976
PDAM februari melonjak sekali ya admin.. biasany normal 500rbuan... Ini di cek hampir 700 ribuan.. mohon di bantu infonya.;pdam februari lonjak admin normal ribu an cek hampir ribu mohon bantu info;Air Kotor/Bau;0.0
Aliran air di mojo segera ditindak lanjuti dari pada saya datangi kantornya :fire::fire::fire:;alir air mojo tindak lanjut datang kantor;Pelayanan;0.2858981854096693
Air PDAM wilayah Utara Surabaya setro baru Utara sulit mengalir kecil ,,tolong di TL;air pdam wilayah utara surabaya setro utara sulit alir kecil tl;Air Tidak Mengalir;0.10625692840859027
Mohon ditindak lanjuti @pdamsuryasembada;mohon tindak lanjut;Pelayanan;0.18169812998687354
Cra hubungi gmna ya biar ada kejelasan.. sya sudah byar biaya penggantian stop kran. Ktanya nunggu 1-7hari tp smpai hari ke 7 blm ada petugas dtang.. tlong  pencerahan nya min:folded_hands:;hubung biar jelas bayar biaya ganti stop keran ktanya nunggu tugas cerah nya admin;Harga;0.12339890848683688
gmn pemberitahuan resminya kalo memang peraturan kost 6 kamar dikenakan tarif 3.2A ? apa akal²an petugas aja, dikira kalo punya kost penghasilan banyak gitu?trs diganti dari 2.1 ake 3.2A ?ini cuma 6 kamar, bukan 10 atau 20 kamar,;pemberitahuan resmi memang atur kost kamar kena tarif a akal tugas kost hasil gitutrs ganti ake a kamar bukan kamar;Harga;0.05023882963946229
Biaya Retribusi itu untuk apa ya,,,,;biaya retribusi;Harga;0.18366080058281123
Ini apa ada perbaikan ta .ko' air klr di rmh sya kecil kdng gak.nyal.dr setelah bayar .;baik ta air keluar rumah kecil kadang ga hidup bayar;Air Tidak Mengalir;0.11766039740960008
Saya sudah mengajukan penggantian meteran, karena meteran rumah yg saya tinggali macet/rusak, sejak tanggal 23 Januari 2025 dan sampai sekarang belum ada tindak lanjut. Dengan no pengaduan PM2025000000825. LALU TAGIHAN SAYA BULAN JANUARI METERAN AKHIR 136 TAPI DI TAGIHAN BULAN FEBRUARI METERAN AWAL 116 DAN METERAN AKHIR 136. PADAHAL SAYA SUDAH LAPOR METERAN SAYA MACET/RUSAK, TAPI MALAH CATATAN METERAN YG DIUBAH-UBAH;aju ganti meter meter rumah tinggal macetrusak tanggal januari tindak adu pm tagih januari meter tagih februari meter awal meter lapor meter macetrusak catat meter ubah ubah;Meteran (Macet/Bermasalah);0.148594604383054
Halo kak, saya sudah pernah komplain disini, saya sudah melaporkan meteran rusak per tanggal 23 Januari 2025, petugas lapangan datang 2X untuk mengecek meteran. TAPI SAMPAI SEKARANG BELUM ADA PENGGANTIAN?????;halo kak komplain sini lapor meter rusak tanggal januari tugas lapang x ecek meter ganti;Meteran (Macet/Bermasalah);0.11532340094877375
Info min sy juga sudah Pengaduan Pelanggan loh via Apk kok belum ada respon? Sy sempat DM dulu pernah juga tidak ada respon dialihkan ke Call Center TLP/WA, klo WA tidak ada layanan chat dg CS langsung?;informasi admin adu langgan loh via aplikasi respon pesan tidak respon alih call center tlpwa whatsapp tidak layan chat layan langgan;Pelayanan;0.24727858245404427
pak mau tanya no pelanggan 1032499 an Ny. Mustiani Wikanti Pulo Wonokromo Wetan 4 knp gol. tarifny berubah yg awalnya 2.1 skrg berubah jadi 3.2A knp gol. tarifny berubah yg awalnya 2.1 skrg berubah jadi 3.2A ini sebenarnya udah lama berubah, tapi saya baru diberitahu orang tua saya,. knp seenaknya merubah, ini memberatkan loh, alasan dirubah dulu krn petugas keliling meteran bilang krn rumah dibuat kost, alasan apa itu, saya harap kembalikan ke gol tarif 2.1 terima kasih;langgan an nya mustiani wikanti pulo wonokromo wetan golong tarifny ubah ubah a golong tarifny ubah ubah a ubah diberitahu tua enak rubah berat loh alas rubah tugas keliling meter bilang rumah buat kost alas harap kembali golong tarif terima kasih;Harga;0.03135592162195834
Alhamdulillah sore ini ( tgl 1742025) rumah saya di daerah Rungkut Menanggal Harapan sdh di ganti meterannya dan Sdh menerima bukti penggantian meteran. Terima kasih;alhamdulillah sore tanggal rumah daerah rungkut tanggal harap ganti meter terima bukti ganti meter terima kasih;Meteran (Macet/Bermasalah);0.13916276826298415
Kelurahan benowo kapan kak???;lurah benowo kak;Air Kotor/Bau;0.0
Kak saya warga Dukuh Kupang, PDAM yg mengalir kecil sekali, padahal dulu ga seperti ini, semenjak pengerjaan gorong2 yg di depan kampus WK itu malah makin parah air mengalir nya, Tp tagihan tetep banyak;kak warga dukuh kupang pdam alir kecil ga semenjak kerja gorong kampus parah air alir nya tagih;Air Tidak Mengalir;0.1396028349816633
Meter baru merk ONDA sering terjadi pengembunan sehingga agak sulit dibaca. Meter lama yg bahan dan kualitas lebih baik, mangapa harus diganti?;meter merk onda embun agak sulit baca meter bahan kualitas mangapa ganti;Meteran (Macet/Bermasalah);0.20640394384524266
"Saya sudah di kunjungi 3x oleh petugas pdam selama 3 tahun terakhir, yg katanya ""Meteran Bakal di Ganti yg Baru "" bahkan petugas ketiga yg datang saya titipkan pesan ""bukan hoax"" kan, karena terakhir petugas yg datang ternyata cuma omon omon saja. Jd saya sdh gk perduli, mau di ganti silahkan gak di ganti jg gpp. Toh selama ini meteran air sy lancar2 saja, walau agak berembun dan angkanya sulit terbaca. Toh selama ini tiap bulan bayar aor murah2 saja :folded_hands:";kunjung x tugas pdam kata meter ganti tugas titip pesan bukan isu bohong kan tugas omon omon ga duli ganti silah tidak ganti tidak apa meter air lancar agak embun angka sulit baca bayar aor murah;Meteran (Macet/Bermasalah);0.18861731761154804
Kelurahan bulak tidak ada ya?;lurah bulak tidak;Meteran (Macet/Bermasalah);0.053634166794617376
Sore,air di daerah Pandegiling keruh berwarna coklat kak mulai kemaren 24 feb;soreair daerah pandegiling keruh warna coklat kak feb;Air Kotor/Bau;0.23386670640965548
@pdamsuryasembada ini omong kosong ya sepertinya, ditempat saya mulai jam 6 pagi sampai jam 19 air tidak normal, bahkan bisa tidak keluar sama sekali, saat meteran rusak, diambil rata2 penggunaan penghuni rumah, sangat tidak fair, kecuali kalau air pdam m;omong kosong tempat jam pagi jam air tidak normal tidak keluar meter rusak ambil huni rumah tidak fair air pdam m;Meteran (Macet/Bermasalah);0.08488306136268378
@pdamsuryasembada meteran saya sudah diganti, tapi air malah macet, apakah karena saya belum bayar? saya belum bayar karena ada LONJAKAN TAGIHAN TIDAK WAJAR  Saat meteran rusak , masak bisa sampai 2x tagihan rata-rata per Bulan, mohon segera ditindak lanj;meter ganti air macet bayar bayar lonjak tagih tidak wajar meter rusak masak x tagih mohon tindak lanj;Meteran (Macet/Bermasalah);0.21150862670095494
Min mau pengaduan gimana gak ada respon @pdamsuryasembada tagihan bln ini kok tbtb membengkak pdhal bertahun tahun gk pernah air sampai habis ratusan ribu;admin adu tidak respon tagih tiba tiba bengkak tahun ga air habis ratus;Pelayanan;0.15427808329615628
Daerah kutorejo pacet kok berbusa airnya dan berwarna seperti susu;daerah kutorejo pacet busa air warna susu;Air Kotor/Bau;0.1689907771523487
Info min....air disekitaran Kebraon kok siang ini tdk mengalir ya??apakah ada perbaikan;informasi mair sekitar kebraon siang tidak alir ya apakah baik;Air Tidak Mengalir;0.05802702758849851
Apakah pengantian meteran pdam masih gratis atau berbayar ?;anti meter pdam gratis bayar;Harga;0.2631194547323555
Pak maaf memang untuk daerah dukuh kupang timur apa aliran nya kecil nggeh;maaf memang daerah dukuh kupang timur alir nya kecil;Air Tidak Mengalir;0.1318631927018059
Sambikerep tdk ada?;sambikerep tidak;Meteran (Macet/Bermasalah);0.06194187941855611
Ok...terima kasih;ok terima kasih;Air Kotor/Bau;0.0
Wil dinoyo kel keputran air kok keluarny kecil ya,, ad apa ni;wil dinoyo lurah keputran air keluarny kecil;Air Tidak Mengalir;0.05944156463035392
Meteran air di rumah saya kok g ada ya,,;meter air rumah ga;Meteran (Macet/Bermasalah);0.10580275831091275
Hari ini, barusan jam 14.45 WIB air mati di daerah Kebraon. Tolong petugas cek ke lapangan @pdamsuryasembada;barusan jam air mati daerah kebraon tugas cek lapang;Air Kotor/Bau;0.0
Min knp ya kok air rumah saya tiba” pembayaran naek ya drastis bgt padahal rumah klo sering kluarin air cuma malem karena ngisi ke rumah atas biasanya saya kena nya 90k an gak sampe 100k ini semalem bayar kenanya hampir 150k ? Ada kenaikan harga apa gimana ? Klo emg ada knp gak ada info yaaa;admin air rumah bayar drastis banget rumah keluar air malam isi rumah kena nya an tidak semalem bayar kena hampir naik harga tidak informasi;Harga;0.06714506840593325
Sya mengajukan hanya disurvei smpai sekarang tdk ada tindakan. Bagaimana?;aju di survey tidak tindak;Pemasangan;0.40714151315226144
Area siwalankerto apa bs pengajuan peremajaan meteran  @pdamsuryasembada ?;area siwalankerto aju remaja meter;Pemasangan;0.1828773199020237
Pak air dirmh  saya kluarnya sangat kecil  sekali, lebih deras uang yg mengalir dri dompet saya, tolong  di tinjau pak kenapa airnya sangat kecil  sekali . Kebetulan saya tinggal di wonokromo @pdamsuryasembada;air dirmh kluarnya kecil deras uang alir dompet tinjau air kecil wonokromo;Air Tidak Mengalir;0.1420085646340716
Air petemon 3 mati;air ton mati;Air Kotor/Bau;0.0
Sakben maghrib banyune buko makane g mancur?? Opo sanyomu rusak gak kuat nyemprot sampek kapas gading madya?;sakben maghrib air buko makane ga mancur sanyomu rusak tidak kuat nyemprot kapas gading madya;Meteran (Macet/Bermasalah);0.018746986030835158
Sudah 2 bulan semenjak METERAN DIGANTI BARU kenapa tagihan air dirumah saya jadi naik 6x lipat!! Parah banget sih!;semenjak meter ganti tagih air rumah x lipat parah sih;Meteran (Macet/Bermasalah);0.10611298552905014
Sore ... Mohon info untuk air dirumah saya keluar nya kecil sekali, dan kadang mati , biasanya keluar air di malam hari saja, tapi ini dr pagi sampe ke pagi lagi gak keluar airnya .?;sore mohon informasi air rumah keluar nya kecil kadang mati keluar air malam pagi pagi tidak keluar air;Air Tidak Mengalir;0.16829139755506523
Kebraon matek banyune woiii;kebraon mati air woi;Air Kotor/Bau;0.0
Min didaerah kelurahan Pradah kalikendal airnya mati, keluar air hanya malam saja dan airnya pelan. Tolong segera ditindak lanjuti;admin daerah lurah pradah kalikendal air mati keluar air malam air pelan tindak lanjut;Pelayanan;0.08339247464567644
Area bulak cumpat air e butek min. Tolong di cek dan diperbaiki kualitas airnya;area bulak cumpat air nya keruh admin cek baik kualitas air;Air Kotor/Bau;0.2095222448359239
Hallo min, apa ada gangguan aliran air daerah wonocolo?;hallo admin ganggu alir air daerah wonocolo;Air Tidak Mengalir;0.07958296747608712
Siang min, saya baru aja  d ganti meteran airnya lah tpi kok malah sambungan ada yg bocor dan d kenai biaya 250rb, tetga saya juga bocor dan byar 250 rbu, inid perum pondok maritim balas klumprik;siang admin ganti meter air sambung bocor kena biaya tetga bocor bayar rbu inid perum pondok maritim balas klumprik;Kebocoran;0.14497198238583975
Aliran air daerah mojo tidak lancar, segera ditindaklanjuti daripada kantornya didatangi :fire::fire::fire:;alir air daerah mojo tidak lancar ditindaklanjuti kantor datang;Pelayanan;0.16208521257766864
Saya mengajukan surat keberatan tagihan dari bulan januari 2025, krn meter PDAM rusak. Sampai sekarang tidak ada tanggapan. meter pdam yg rusak, masa pelanggan yang harus bayar tagihannya?padahal air yang digunakan tidak sebanyak tagihannya.;aju surat berat tagih januari meter pdam rusak tidak tanggap meter pdam rusak langgan bayar tagihannyapadahal air guna tidak tagih;Harga;0.1386251534676049
Diganti meteran baru tagihan malah lbh banyak :person_facepalming:;ganti meter tagih;Meteran (Macet/Bermasalah);0.2294887486343477
Air mati seharian hidup malam ajja padahal kota besar air mati terus pembayaran naik 100%;air mati hari malam aja kota air mati bayar;Harga;0.06651618929043743
Kalau cara pengajuannya pilih apa ya saya;aju pilih;Pemasangan;0.24626926352348988
@pdamsuryasembada kelurahan perak barat ga ada yah min?;lurah perak barat ga yah admin;Air Kotor/Bau;0.0
@pdamsuryasembada saya sdh kirim surat komplen ke Manajer kaliam sesuai arahan Spv Pak Agus. Katanya 3 hari kerja dihubjngi balik utk feedbacknya. Sampe skrg ga dihubungi tapi di lapangan org PDAM cabut meteran saya. Sy tlp ke Call Center PDAM Sby juga so;kirim surat komplen manajer kaliam arah spv agus kata kerja dihubjngi kali kali feedbacknya ga hubung lapang pdam pergi meter telepon call center pdam surabaya so;Meteran (Macet/Bermasalah);0.0220524831318424
Selamat pagi, mhon info wilayah Medokan ayu apa ada perbaikan ngge?kok airnya mati;selamat pagi mhon informasi wilayah medok cantik baik nggekok air mati;Air Kotor/Bau;0.0
Rungkut kenapa gak ada Min ?;rungkut tidak admin;Meteran (Macet/Bermasalah);0.06225933321439662
Min, aliran air di daerah kejawan mati total, kemarin dan hari ini masih berlanjut, kira-kira apakah dampak dari peremajaan besar-besaran kah? Padahal kejawan tidak ada di list.;admin alir air daerah kejawan mati total lanjut kira kira dampak remaja besar kejawan tidak list;Air Tidak Mengalir;0.10920690451062948
Pelayanan mantap;layan mantap;Air Kotor/Bau;0.0
Mantab pdam;mantap pdam;Air Kotor/Bau;0.0
kenapa airnya dalam 3hari ini kok keruh,hampir kyk air beras;air dalam keruhhampir air beras;Air Kotor/Bau;0.0
Mohon info, Kalau Kran meter bocor kalau TIDAK diputar/dibuka penuh apa ini termasuk perbaikan;mohon informasi keran meter bocor tidak diputardibuka penuh baik;Kebocoran;0.12596627909734964
"Daerah kecamatan Bulak min.. airnya kok keruh + banger.. ga iso gae masak + Korah"" min.. :person_facepalming:";daerah camat bulak admin air keruh banger ga pakai masak korah admin;Air Kotor/Bau;0.07276537113560909
Air di kedungdoro keruh sekali sejak kemarin malam;air kedungdoro keruh malam;Air Kotor/Bau;0.1325534474723987
Di rmh saya sdh 2 bulan ini tagihannya 100rb lbh pdhl penghuninya cima 2 org sehari kerja semua.....kran mati tp meteran muternya kencang banget :see-no-evil_monkey:;rumah tagih hun hari kerja semuakran mati meter muternya kencang sih;Harga;0.06783684320900812
Min, ini stop kran yg dirmh sdh aus Krn usia, sdh diatas 5 th,  apakah juga termasuk bisa diganti??;admin stop keran dirmh aus usia atas th ganti;Meteran (Macet/Bermasalah);0.05121919978278912
Apa ada perbaikan ini? Daerah candi lempung koq tidak ngalir :crying_face:;baik daerah candi lempung tidak alir;Air Tidak Mengalir;0.08337526956716364
Air di Wonokromo kotor butek sedari kemarin sore;air wonokromo kotor keruh dar sore;Air Kotor/Bau;0.23122563746067312
Daerah tegalsari air PDAM ga layak pakai seperti air sungai sudah 2hr ini,sekarang mati;daerah tegalsari air pdam ga layak pakai air sungai inisekarang mati;Air Kotor/Bau;0.0
Mohon ijin menginfokan. Mulai tadi pagi air pdam di daerah Krukah Lama, Kel. Ngagel Rejo, keruh pekat. Mohon bisa segera ditindaklanjuti. Terimakasih.;mohon ijin info pagi air pdam daerah kru lurah ngagel rejo keruh pekat mohon ditindaklanjuti terimakasih;Air Kotor/Bau;0.05944005551960395
Air knp keruhhhh sekaliii.... :crying_face:;air keruh;Air Kotor/Bau;0.2618202338943463
Untuk penggantian Meter diminta bayar vja Indomart, stlah bayar via Indomart katae H+1 br msk, stlah H+1 msk br di Jadwalkan kunjungan....LUAMA, Air sudah bocor deras yg nanggu pemilik rumah. Knp lama skali prosesnya?;ganti meter bayar vja indomart stlah bayar via indomart katae h masuk stlah h masuk jadwal kunjunganluama air bocor deras nanggu milik rumah skali proses;Kebocoran;0.05485481763229335
Min manyar sabrangan air nya kotor;admin manyar sabrangan air nya kotor;Air Kotor/Bau;0.14006016632606907
Assalamualaikum min mau tanya jambangan dan Bibis apakah airnya mati;assalamualaikum admin jambang bibis air mati;Air Kotor/Bau;0.0
Stop kran pdam saya rusak usia sudah 5 tahun lebih, meteran pdam muter terus tanpa dipakai rugi saya. Saya wa pdam sby untuk perbaikan stop kran saya di kenakan biaya Rp 197.580,- Apa iya bayar? :clapping_hands:;stop keran pdam rusak usia meter pdam putar pakai rugi whatsapp pdam surabaya baik stop keran kena biaya rp bayar;Meteran (Macet/Bermasalah);0.10797441890438808
Ketintang airnya mati;ketintang air mati;Air Kotor/Bau;0.0
itu kelurahan Wonorejo Rungkut kah min?;lurah wonorejo rungkut admin;Air Kotor/Bau;0.0
benowo kpan min;benowo admin;Air Kotor/Bau;0.0
Sejak perbaikan pipa bocor di made, sampai sekrang kok air kadang ngalir kecil kadang ga kluar. Ini gimana min apa masih ada kendala?;baik pipa bocor made air kadang alir kecil kadang ga keluar admin kendala;Kebocoran;0.25609720343875164
Kalo wonocolo tdk gratis kah?;wonocolo tidak gratis;Harga;0.2135713536992535
Wilayah tanjung perak apakah sedang ada perbaikan?;wilayah tanjung perak baik;Air Kotor/Bau;0.0
Putat jaya kok gak ikut ya?;putat jaya tidak;Meteran (Macet/Bermasalah);0.04493956206586914
halo @pdamsuryasembada  sy ada wa tp slow respon ya, nomor call centernya jg, operatornya sibuk terus, air ditempat saya mati dari semalam, apa ada solusi untuk pengaduan saya;halo whatsapp slow respon nomor call centernya operator sibuk air tempat mati malam solusi adu;Pelayanan;0.2337091300200712
kalau kran meteran bocor apakah termasuk ?;keran meter bocor;Kebocoran;0.23540061112676341
Air nya agak keruh, mgkin next ada peremajaan saluran air dr pdam kaj ?;air nya agak keruh mungkin remaja salur air pdam kaj;Air Kotor/Bau;0.07995430415727739
Min @pdamsuryasembada  sy sdh WA menu apa yg di pilih?;admin whatsapp menu pilih;Pelayanan;0.13948686128956259
Kelurahan Sambikerep min??? Wes 30 THN meteraku blum diremajakan...;lurah sambikerep admin meter ku remaja;Meteran (Macet/Bermasalah);0.05837938466618
D tunggu area sby selatan y gaes;tunggu area surabaya selatan teman teman;Air Kotor/Bau;0.0
Kalau kelurahan baratajaya tidak ada kah?;lurah baratajaya tidak;Meteran (Macet/Bermasalah);0.050199469186609655
Pradah Kalikendal ngga masuk area peremajaan min?;pradah kalikendal tidak masuk area remaja admin;Meteran (Macet/Bermasalah);0.03175637283732928
Dukuh pakis kok gak ada min?;dukuh pakis tidak admin;Meteran (Macet/Bermasalah);0.04835269937672263
Kelurahan morokrembangan kok tidak ada;lurah morokrembangan tidak;Meteran (Macet/Bermasalah);0.04832541621280993
kok Sidotopo tidak ada min??;sidotopo tidak admin;Meteran (Macet/Bermasalah);0.05970164600857755
Info donk air ditempat saya mati dari kemaren,,area sememi bandarejo gg candi;informasi air tempat mati kemarenarea mem bandarejo gang candi;Air Kotor/Bau;0.0
Utk wilayah Pandaan belakang masjid chengho ada ga peremajaan juga utk meteran Air;wilayah pandaan belakang masjid chengho ga remaja meter air;Meteran (Macet/Bermasalah);0.04187112646453114
yah kelurahanku ga ada min:crying_face: padahal udah lebih dari 5 tahun dan kaca berembun burem;yah lurah ga admin kaca embun buram;Meteran (Macet/Bermasalah);0.2853114978891028
Caranya gmn min untk mendapatkan penembakan meter air;cara admin dapat tembak meter air;Meteran (Macet/Bermasalah);0.05456942448791078
Sudah laporan ke kantor sampai skrg 2 minggu blom ditanggapin min @pdamsuryasembada;lapor kantor ditanggapin admin;Air Kotor/Bau;0.0
pk minto tolong akor km PDAM GK keluar  4 hari pk kami ingin mengganti air menyalurkan air dr sumur kami aja pk GK usah pake PDAM pk kalua kami di sini GK bisa mandi gimana pk tolong banyu kami pk :folded_hands_light_skin_tone::folded_hands_light_skin_tone::folded_hands_light_skin_tone::folded_hands_light_skin_tone::folded_hands_light_skin_tone::folded_hands_light_skin_tone::pleading_face::pleading_face::pleading_face::pleading_face::pleading_face::pleading_face::pleading_face::pleading_face::pleading_face::pleading_face::pleading_face::folded_hands_light_skin_tone::folded_hands_light_skin_tone::folded_hands_light_skin_tone::folded_hands_light_skin_tone::folded_hands_light_skin_tone::folded_hands_light_skin_tone::folded_hands_light_skin_tone::folded_hands_light_skin_tone::folded_hands_light_skin_tone::folded_hands_light_skin_tone::folded_hands_light_skin_tone::folded_hands_light_skin_tone::folded_hands_light_skin_tone::folded_hands_light_skin_tone::folded_hands_light_skin_tone::folded_hands_light_skin_tone::folded_hands_light_skin_tone::folded_hands_light_skin_tone::loudly_crying_face::loudly_crying_face::loudly_crying_face::loudly_crying_face::loudly_crying_face::loudly_crying_face::loudly_crying_face::loudly_crying_face::loudly_crying_face::loudly_crying_face::loudly_crying_face::loudly_crying_face:;pdam ga keluar ganti air salur air sumur ga perlu pakai pdam ga mandi air;Kebocoran;0.055374710170935905
Info lowongan nyaa dong minnn;informasi lowong nya admin;Air Kotor/Bau;0.0
