comment_text;final_data;predicted_aspect;true_aspect_1;similarity_score
Pdam kebraon kok blm nyala ...jam brp nyalanya ini;pdam kebraon jam;Lainnya;Air Tidak Mengalir;0.0
Sido E nyala jam piro Min ,Kebraon Iki ?;nya jam admin kebraon;Lainnya;Air Tidak Mengalir;0.0
Air di daerah kebraon kok masih belum nyala;air daerah kebraon;Lainnya;Air Tidak Mengalir;0.0
kalau ada perbaikan mohon ada pemberitahuan. jadi bisa persiapan air, dan air bersih di bak mandi tidak tercampur dengan air keruh. kalau begini saya harus kuras bak mandi. MOHON DAPAT DIJADIKAN PERTIMBANGAN DI KEMUDIAN HARI.;baik mohon pemberitahuan siap air air bersih bak mandi tidak campur air keruh kuras bak mandi mohon jadi timbang;Lainnya;Air Tidak Mengalir;0.04540815509731467
Di lontar belum nyala;lontar;Lainnya;Air Tidak Mengalir;0.0
Waduuh ini PDAM KEBRAON belum nyala kahhh?? Tolongg pakk nyalakan airnyaa, butuh iniii;aduh pdam kebraon nyala airnyaa butuh;Lainnya;Air Tidak Mengalir;0.0
sampai jam brp ini Kebraon PDAMnya nyala boss???;jam kebraon pdam bos;Lainnya;Air Tidak Mengalir;0.0
Kapan nyala iki kebraon, info pok'o minnnnnn, budal kerjo mosok Raup tok;kebraon informasi poko admin berangkat kerja raup tok;Lainnya;Air Tidak Mengalir;0.0
Tolong dong, daerah hr muhammad tepatnya dukuh kawal kali kendal air kok mati nyala pun malem. Pdhal kemarin2 sudah lancar, knp balik lagi seperti ini?;daerah muhammad tepat dukuh kawal kendal air mati malam lancar kali kali;Lainnya;Air Tidak Mengalir;0.034325657701623144
Kebiasaan, perbaikan waktu pagi² dan mau siap² berangkat kerja. Berapa jam ini perbaikannya!;biasa baik pagi berangkat kerja jam baik;Lainnya;Air Tidak Mengalir;0.0
kedurus ini kapan selesainya jamberapaaaaaa air normaaal?;kedurus selesai jam berapa air normal;Lainnya;Air Tidak Mengalir;0.0
Min...min daerah Kebraon bkok belom nyala dari pagi Ampe sekarang ini gmn saya mau aktifitas klo gak ada air sama sekali;admin daerah kebraon b kok pagi aktivitas tidak air;Lainnya;Air Tidak Mengalir;0.0
Rumah saya terdampak di daerah Jl Mastrip. Apa perbaikan akan sampai sore hari?;rumah dampak daerah jalan mastrip baik sore;Lainnya;Air Tidak Mengalir;0.0
Selamat pagi. Mohon cek DM ya. Gangguan air di injoko gayungan;selamat pagi mohon cek pesan ganggu air injoko gayung;Lainnya;Air Tidak Mengalir;0.0
Halo min manukan kulon dirumah saya smp saat ini blom nyala sama sekali.. Gimana ini?;halo admin manuk kulon rumah;Lainnya;Air Tidak Mengalir;0.0
min kawasan kampung seng nyala airnya malam terus. mohon di cek.;admin kawasan kampung air malam mohon cek;Lainnya;Air Tidak Mengalir;0.0
Min,, sahur-sahur kok air di manukan di matiin sih? Apa ada perbaikan yaa? @pdamsuryasembada;admin sahur sahur air manuk mati sih baik;Lainnya;Air Tidak Mengalir;0.04000103360783718
Daerah Wisma Pagesangan kok jadi ikutan mati airnya, kenapa selalu begini sih @pdamsuryasembada, capek banget sayaa;daerah wisma pagesangan mati air sih capek;Lainnya;Air Tidak Mengalir;0.04999244803021549
