comment_id,comment_text,segmented_text,true_aspect,final_sentiment_label
16,Maaf ni mau tanya kalau air pdam daerah surabaya wiyung kotor sminggu lebih. Tolong di cek kondisi tandon atau stok air. Trimakasih,maaf air pdam daerah surabaya wiyung kotor satu minggu lebih . cek tandon stok air . terima kasih,Air Kotor/Bau,Negatif
17,"Halo, saya pakai cuma 4m3 setiap bulan, kenapa tagihan selalu 10m3 ya kak?","halo , pakai , tagihan selalu kakak ?",Harga,Positif
18,@pdamsuryasembada_ kenapa air d Kalijudan mati hari ini sampai sekarang blm klwr,air kalijudan mati sampai sekarang belum keluar,Air Tidak Mengalir,Negatif
19,Laporan ke PDAM tambah dikasih nomer pencatat meter...ditelp gaknisanwoi. Piye Iki tagihan ku gak sesuai meteran ....fast respon dong,laporan pdam kasih nomor pencatat meter . di telepon ga bisa woi . tagihan ku tidak meter . cepat respon,Pelayanan,Negatif
20,"Petugas yg dtg ada bbrpa, jd bingung","petugas datang ada , bingung",Pelayanan,Negatif
21,Biasanya petugas pdam sdh ijin rt dan petugas keamanan,petugas pdam sudah ijin petugas keamanan,Pelayanan,Netral
23,Air pdam makin hari makin kotor sekali.... Apa nggak d treatment? Masak perusahaan daerah air minum jangankan air nya di minum.... Mau mandi aja nggak layak.... Sudah dpasang filter 1 micron pun nggak ada hasil:crying_face:,air pdam kotor sekali . tidak perawatan ? masak perusahaan daerah air minum jangankan air nya minum . mandi tidak layak . sudah pasang filter mikron tidak ada hasil,Air Kotor/Bau,Negatif
24,Sakben maghrib banyune buko makane g mancur?? Opo sanyomu rusak gak kuat nyemprot sampek kapas gading madya?,maghrib airnya buka puasa maka ga mancur ? pompa rusak tidak kuat semprot sampai kapas gading madya ?,Air Tidak Mengalir,Negatif
25,"ngajuin surat keberatan tagihan dari bulan januari sampe sekarang gak ada tanggapan. tagihan naik gara2 meter pdam yg rusak, malah pelanggan yang harus bayar kelebihan tagihannya. sekelas perusahaan daerah koq gak profesional gini","aju surat keberatan tagihan januari sampai sekarang tidak ada tanggapan . tagihan naik gara meter pdam rusak , pelanggan harus bayar kelebihan tagihan . kelas perusahaan daerah tidak profesional gini",Harga,Negatif
26,2 bulan tagihan air kenapa melonjak ya,tagihan air melonjak,Harga,Negatif
27,Dari pagi tadi air nggak keluar.. parah parah,pagi air tidak keluar . parah parah,Air Tidak Mengalir,Negatif
28,"PDAM GA WARAS, TAGIHAN SETELAH HARI RAYA SELALU TIBA2 NAIK DRASTIS PETUGAS SALAH NYATAT HARUSNYA 14 MALAH DITULIS 114!! GILAK TAGIHANKU JADI 500RB BULAN INI GILA JGN NGAWUR LAH ORG DI RMH ISINYA CMN 2 ORG GAADA KEBOCORAN SAMA SEKALI, GAADA KOLAM RENANG AIR CMN DI PAKE BUAT MANDI SAKA CUCI BAJU KOK BISA TAGIHAN BULAN MEI KMRN 500RB GILS","pdam ga sehat , tagihan raya selalu naik drastis petugas salah catat harus tulis ! gila tagihan gila berbicara sembarangan rumah isi cuman tidak ada kebocoran sekali , tidak ada kolam renang air cuman pakai mandi cuci baju tagihan mei gila",Harga,Negatif
29,Tagihan yg sangat tidak masuk akal. Jika kelas tarif dipindah ya harus info dong ga langsung di naikkan harga. PDAM dr harga 60rb bulan ini masuk 190rb. Usaha kecil diperkampung untung pun hanya sedikit,tagihan sangat tidak masuk akal . kelas tarif pindah harus informasi ga naik harga . pdam harga masuk . usaha kecil kampung untung sedikit,Harga,Negatif
30,"Yo sido tak ajak ngopi lak ketemu q,, bah orie bah gak_mbulet sikat ae langsung,, prei wong ruwet.!!!","tidak ajak kopi ketemu , bah bah tidak ribet sikat aja , libur rumit . !",Lainnya,Negatif
31,PDAM februari melonjak sekali ya admin.. biasany normal 500rbuan... Ini di cek hampir 700 ribuan.. mohon di bantu infonya.,pdam februari melonjak sekali admin . normal ribu an . cek hampir ribuan . mohon bantu informasi .,Harga,Negatif
33,Aliran air di mojo segera ditindak lanjuti dari pada saya datangi kantornya :fire::fire::fire:,aliran air mojo tindak mendatangi kantor,Air Tidak Mengalir,Negatif
34,"Air PDAM wilayah Utara Surabaya setro baru Utara sulit mengalir kecil ,,tolong di TL","air pdam wilayah utara surabaya setro baru utara sulit mengalir kecil ,",Air Tidak Mengalir,Negatif
35,Mohon ditindak lanjuti @pdamsuryasembada,mohon tindak,Pelayanan,Netral
36,Cra hubungi gmna ya biar ada kejelasan.. sya sudah byar biaya penggantian stop kran. Ktanya nunggu 1-7hari smpai hari ke 7 blm ada petugas dtang.. tlong  pencerahan nya min:folded_hands:,hubungi biar ada kejelasan . sudah bayar biaya pergantian stop keran . tunggu sampai belum ada petugas datang . pencerahan nya admin,Meteran (Macet/Bermasalah),Negatif
37,"gmn pemberitahuan resminya kalo memang peraturan kost 6 kamar dikenakan tarif 3.2A ? apa akal²an petugas aja, dikira kalo punya kost penghasilan banyak gitu?trs diganti dari 2.1 ake 3.2A ?ini cuma 6 kamar, bukan 10 atau 20 kamar,","pemberitahuan resmi memang peraturan kos kamar kena tarif . ? akal petugas , kira kos penghasilan banyak ? ganti . a ke . ? kamar , bukan kamar ,",Harga,Netral
38,"Biaya Retribusi itu untuk apa ya,,,,","biaya retribusi ,",Harga,Netral
39,Ini apa ada perbaikan ta .ko' air klr di rmh sya kecil kdng gak.nyal.dr setelah bayar .,ada perbaikan ta . air keluar rumah kecil kadang tidak . nyala . bayar .,Air Tidak Mengalir,Negatif
42,"Info min sy juga sudah Pengaduan Pelanggan loh via Apk kok belum ada respon? Sy sempat DM dulu pernah juga tidak ada respon dialihkan ke Call Center TLP/WA, klo WA tidak ada layanan chat dg CS langsung?","informasi admin sudah pengaduan pelanggan loh via aplikasi belum ada respon ? pesan tidak ada respon alih call center telepon whatsapp , whatsapp tidak ada layanan chat pelayanan pelanggan ?",Pelayanan,Negatif
44,Alhamdulillah sore ini ( tgl 1742025) rumah saya di daerah Rungkut Menanggal Harapan sdh di ganti meterannya dan Sdh menerima bukti penggantian meteran. Terima kasih,alhamdulillah sore tanggal rumah daerah rungkut menanggal harapan sudah ganti meteran sudah menerima bukti pergantian meter . terima kasih,Pemasangan,Positif
45,Kelurahan benowo kapan kak???,kelurahan benowo kapan kakak ?,Lainnya,Netral
47,"Meter baru merk ONDA sering terjadi pengembunan sehingga agak sulit dibaca. Meter lama yg bahan dan kualitas lebih baik, mangapa harus diganti?","meter baru merk ondi pengembunan agak sulit baca . meter lama bahan kualitas lebih , harus ganti ?",Meteran (Macet/Bermasalah),Netral
49,Kelurahan bulak tidak ada ya?,kelurahan bulak tidak ada ?,Lainnya,Negatif
50,"Sore,air di daerah Pandegiling keruh berwarna coklat kak mulai kemaren 24 feb","sore , air daerah pandegiling keruh berwarna coklat kakak februari",Air Kotor/Bau,Negatif
51,"@pdamsuryasembada ini omong kosong ya sepertinya, ditempat saya mulai jam 6 pagi sampai jam 19 air tidak normal, bahkan bisa tidak keluar sama sekali, saat meteran rusak, diambil rata2 penggunaan penghuni rumah, sangat tidak fair, kecuali kalau air pdam m","omong kosong , jam pagi sampai jam air tidak normal , tidak keluar sekali , meter rusak , ambil penggunaan penghuni rumah , sangat tidak adil , air pdam",Air Tidak Mengalir,Negatif
54,Daerah kutorejo pacet kok berbusa airnya dan berwarna seperti susu,daerah kutorejo pacet berbusa air berwarna susu,Air Kotor/Bau,Negatif
55,Info min....air disekitaran Kebraon kok siang ini tdk mengalir ya??apakah ada perbaikan,informasi admin . air kebraon siang tidak mengalir ? ada perbaikan,Air Tidak Mengalir,Netral
56,Apakah pengantian meteran pdam masih gratis atau berbayar ?,ganti meter pdam gratis berbayar ?,Meteran (Macet/Bermasalah),Netral
57,Pak maaf memang untuk daerah dukuh kupang timur apa aliran nya kecil nggeh,maaf memang daerah dukuh kupang timur aliran nya kecil,Air Tidak Mengalir,Negatif
58,Sambikerep tdk ada?,sambikerep tidak ada ?,Lainnya,Negatif
59,Ok...terima kasih,ok . terima kasih,Lainnya,Positif
60,"Wil dinoyo kel keputran air kok keluarny kecil ya,, ad apa ni","wilayah dinoyo kelurahan keputran air keluar kecil , ada",Air Tidak Mengalir,Negatif
61,"Meteran air di rumah saya kok g ada ya,,","meter air rumah ga ada ,",Meteran (Macet/Bermasalah),Negatif
62,"Hari ini, barusan jam 14.45 WIB air mati di daerah Kebraon. Tolong petugas cek ke lapangan @pdamsuryasembada",", barusan jam . air mati daerah kebraon . petugas cek lapangan",Air Tidak Mengalir,Negatif
64,Sya mengajukan hanya disurvei smpai sekarang tdk ada tindakan. Bagaimana?,mengajukan di survey sampai sekarang tidak ada tindakan . ?,Pelayanan,Negatif
65,Area siwalankerto apa bs pengajuan peremajaan meteran  @pdamsuryasembada ?,area siwalankerto pengajuan peremajaan meter ?,Meteran (Macet/Bermasalah),Netral
66,"Pak air dirmh  saya kluarnya sangat kecil  sekali, lebih deras uang yg mengalir dri dompet saya, tolong  di tinjau pak kenapa airnya sangat kecil  sekali . Kebetulan saya tinggal di wonokromo @pdamsuryasembada","air rumah keluar sangat kecil sekali , lebih deras uang mengalir dompet , tinjau air sangat kecil sekali . wonokromo",Air Tidak Mengalir,Netral
67,Air petemon 3 mati,air petemon mati,Air Tidak Mengalir,Negatif
68,Sakben maghrib banyune buko makane g mancur?? Opo sanyomu rusak gak kuat nyemprot sampek kapas gading madya?,maghrib airnya buka puasa maka ga mancur ? pompa rusak tidak kuat semprot sampai kapas gading madya ?,Air Tidak Mengalir,Negatif
69,Sudah 2 bulan semenjak METERAN DIGANTI BARU kenapa tagihan air dirumah saya jadi naik 6x lipat!! Parah banget sih!,sudah semenjak meter ganti baru tagihan air rumah naik lipat ! parah sekali sih !,Harga,Negatif
71,Kebraon matek banyune woiii,kebraon mati airnya woi,Air Tidak Mengalir,Negatif
72,"Min didaerah kelurahan Pradah kalikendal airnya mati, keluar air hanya malam saja dan airnya pelan. Tolong segera ditindak lanjuti","admin daerah kelurahan pradah kalikendal air mati , keluar air malam air pelan . tindak",Air Tidak Mengalir,Negatif
73,Area bulak cumpat air e butek min. Tolong di cek dan diperbaiki kualitas airnya,area bulak cumpat air nya keruh admin . cek perbaiki kualitas air,Air Kotor/Bau,Negatif
74,"Hallo min, apa ada gangguan aliran air daerah wonocolo?","halo admin , ada gangguan aliran air daerah wonocolo ?",Air Tidak Mengalir,Netral
76,"Aliran air daerah mojo tidak lancar, segera ditindaklanjuti daripada kantornya didatangi :fire::fire::fire:","aliran air daerah mojo tidak lancar , tindak lanjut kantor datang",Air Tidak Mengalir,Negatif
80,Kalau cara pengajuannya pilih apa ya saya,pengajuan pilih,Pemasangan,Negatif
81,@pdamsuryasembada kelurahan perak barat ga ada yah min?,kelurahan perak barat ga ada admin ?,Lainnya,Netral
83,"Selamat pagi, mhon info wilayah Medokan ayu apa ada perbaikan ngge?kok airnya mati","selamat pagi , mohon informasi wilayah medokan cantik ada perbaikan ? air mati",Air Tidak Mengalir,Netral
84,Rungkut kenapa gak ada Min ?,rungkut tidak ada admin ?,Lainnya,Negatif
85,"Min, aliran air di daerah kejawan mati total, kemarin dan hari ini masih berlanjut, kira-kira apakah dampak dari peremajaan besar-besaran kah? kejawan tidak ada di list.","admin , aliran air daerah kejawan mati total , berlanjut , kira kira dampak peremajaan besar besaran ? kejawan tidak ada daftar .",Air Tidak Mengalir,Negatif
86,Pelayanan mantap,pelayanan mantap,Pelayanan,Positif
87,Mantab pdam,mantap pdam,Pelayanan,Positif
88,"kenapa airnya dalam 3hari ini kok keruh,hampir kyk air beras","air dalam keruh , hampir air beras",Air Kotor/Bau,Negatif
89,"Mohon info, Kalau Kran meter bocor kalau TIDAK diputar/dibuka penuh apa ini termasuk perbaikan","mohon informasi , keran meter bocor tidak putar buka penuh perbaikan",Meteran (Macet/Bermasalah),Negatif
90,"Daerah kecamatan Bulak min.. airnya kok keruh + banger.. ga iso gae masak + Korah"" min.. :person_facepalming:",daerah kecamatan bulak admin . air keruh sangat . ga pakai masak cuci admin .,Air Kotor/Bau,Negatif
91,Air di kedungdoro keruh sekali sejak kemarin malam,air kedungdoro keruh sekali malam,Air Kotor/Bau,Negatif
93,"Min, ini stop kran yg dirmh sdh aus penyebab usia, sdh diatas 5 th,  apa juga termasuk bisa diganti??","admin , stop keran rumah sudah rusak penyebab usia , sudah diatas , ganti ?",Meteran (Macet/Bermasalah),Negatif
94,Apa ada perbaikan ini? Daerah candi lempung koq tidak ngalir :crying_face:,ada perbaikan ? daerah candi lempung tidak mengalir,Air Tidak Mengalir,Netral
95,Air di Wonokromo kotor butek sedari kemarin sore,air wonokromo kotor keruh sedari sore,Air Kotor/Bau,Negatif
97,"Mohon ijin menginfokan. Mulai tadi pagi air pdam di daerah Krukah Lama, Kel. Ngagel Rejo, keruh pekat. Mohon bisa segera ditindaklanjuti. Terimakasih.","mohon ijin menginfokan . pagi air pdam daerah krukah lama , kelurahan . ngagel rejo , keruh pekat . mohon tindak lanjut . terima kasih .",Air Kotor/Bau,Negatif
98,Air knp keruhhhh sekaliii.... :crying_face:,air keruh sekali .,Air Kotor/Bau,Netral
99,"Untuk penggantian Meter diminta bayar vja Indomart, stlah bayar via Indomart katae H+1 br msk, stlah H+1 msk br di Jadwalkan kunjungan. LUAMA, Air sudah bocor deras yg nanggu pemilik rumah. Knp lama skali prosesnya?","pergantian meter bayar via indomaret , bayar via indomaret baru masuk , masuk baru jadwal kunjungan . lama , air sudah bocor deras tanggung pemilik rumah . lama sekali proses ?",Meteran (Macet/Bermasalah),Negatif
100,Min manyar sabrangan air nya kotor,admin manyar sabrangan air nya kotor,Air Kotor/Bau,Negatif
101,Assalamualaikum min mau tanya jambangan dan Bibis apakah airnya mati,assalamualaikum admin jambangan bibis air mati,Air Tidak Mengalir,Netral
103,"Stop kran pdam saya rusak usia sudah 5 tahun lebih, meteran pdam muter terus tanpa dipakai rugi saya. Saya wa pdam sby untuk perbaikan stop kran saya di kenakan biaya Rp 197.580,- Apa iya bayar? :clapping_hands:","stop keran pdam rusak usia sudah lebih , meter pdam berputar pakai rugi . whatsapp pdam surabaya perbaikan stop keran kena biaya rp . , bayar ?",Meteran (Macet/Bermasalah),Negatif
104,Ketintang airnya mati,ketintang air mati,Air Tidak Mengalir,Negatif
105,itu kelurahan Wonorejo Rungkut kah min?,kelurahan wonorejo rungkut admin ?,Lainnya,Netral
106,benowo kpan min,benowo kapan admin,Lainnya,Netral
107,"Sejak perbaikan pipa bocor di made, sampai sekrang kok air kadang ngalir kecil kadang ga kluar. Ini gimana min apa masih ada kendala?","perbaikan pipa bocor made , sampai sekarang air kadang mengalir kecil kadang ga keluar . admin ada kendala ?",Air Tidak Mengalir,Negatif
108,Kalo wonocolo tdk gratis kah?,wonocolo tidak gratis ?,Harga,Netral
110,Putat jaya kok gak ikut ya?,putat jaya tidak ?,Lainnya,Netral
112,kalau kran meteran bocor apakah termasuk ?,keran meter bocor ?,Meteran (Macet/Bermasalah),Negatif
113,"Air nya agak keruh, mgkin next ada peremajaan saluran air dr pdam kaj ?","air nya agak keruh , mungkin ada peremajaan saluran air pdam ?",Air Kotor/Bau,Negatif
114,Min @pdamsuryasembada  sy sdh WA menu apa yg di pilih?,admin sudah whatsapp menu pilih ?,Lainnya,Netral
115,Kelurahan Sambikerep min??? Wes 30 THN meteraku blum diremajakan...,kelurahan sambikerep admin ? sudah meter belum remaja .,Lainnya,Netral
116,D tunggu area sby selatan y gaes,tunggu area surabaya selatan teman teman,Lainnya,Netral
117,Kalau kelurahan baratajaya tidak ada kah?,kelurahan baratajaya tidak ada ?,Lainnya,Negatif
118,Pradah Kalikendal ngga masuk area peremajaan min?,pradah kalikendal tidak masuk area peremajaan admin ?,Lainnya,Netral
119,Dukuh pakis kok gak ada min?,dukuh pakis tidak ada admin ?,Lainnya,Negatif
120,Kelurahan morokrembangan kok tidak ada,kelurahan morokrembangan  tidak ada,Lainnya,Negatif
121,kok Sidotopo tidak ada min??,sidotopo tidak ada admin ?,Lainnya,Negatif
122,"Info donk air ditempat saya mati dari kemaren,,area sememi bandarejo gg candi","informasi air mati , area sememi bandarejo gang candi",Air Tidak Mengalir,Negatif
123,Utk wilayah Pandaan belakang masjid chengho ada ga peremajaan juga utk meteran Air,wilayah pandaan belakang masjid chenghoo ada ga peremajaan meter air,Meteran (Macet/Bermasalah),Negatif
124,yah kelurahanku ga ada min:crying_face: dan udah lebih dari 5 tahun dan kaca berembun burem,kelurahan ga ada admin sudah lebih kaca berembun buram,Meteran (Macet/Bermasalah),Negatif
125,Caranya gmn min untk mendapatkan penembakan meter air,caranya admin mendapatkan penembakan meter air,Meteran (Macet/Bermasalah),Negatif
126,Sudah laporan ke kantor sampai skrg 2 minggu blom ditanggapin min @pdamsuryasembada,sudah laporan kantor sampai sekarang belum tanggapi admin,Pelayanan,Negatif
127,pk minto tolong akor km PDAM GK keluar  4 hari pk kami ingin mengganti air menyalurkan air dr sumur kami aja pk GK usah pake PDAM pk kalua kami di sini GK bisa mandi gimana pk tolong banyu kami pk :folded_hands_light_skin_tone::folded_hands_light_skin_tone::folded_hands_light_skin_tone::folded_hands_light_skin_tone::folded_hands_light_skin_tone::folded_hands_light_skin_tone::pleading_face::pleading_face::pleading_face::pleading_face::pleading_face::pleading_face::pleading_face::pleading_face::pleading_face::pleading_face::pleading_face::folded_hands_light_skin_tone::folded_hands_light_skin_tone::folded_hands_light_skin_tone::folded_hands_light_skin_tone::folded_hands_light_skin_tone::folded_hands_light_skin_tone::folded_hands_light_skin_tone::folded_hands_light_skin_tone::folded_hands_light_skin_tone::folded_hands_light_skin_tone::folded_hands_light_skin_tone::folded_hands_light_skin_tone::folded_hands_light_skin_tone::folded_hands_light_skin_tone::folded_hands_light_skin_tone::folded_hands_light_skin_tone::folded_hands_light_skin_tone::folded_hands_light_skin_tone::loudly_crying_face::loudly_crying_face::loudly_crying_face::loudly_crying_face::loudly_crying_face::loudly_crying_face::loudly_crying_face::loudly_crying_face::loudly_crying_face::loudly_crying_face::loudly_crying_face::loudly_crying_face:,pdam ga keluar mengganti air menyalurkan air sumur ga perlu pakai pdam ga mandi air terang terang terang terang terang terang terang terang terang terang terang terang terang terang terang terang terang terang terang terang terang terang terang terang,Air Tidak Mengalir,Negatif
128,Info lowongan nyaa dong minnn,informasi lowongan nya admin,Lainnya,Netral
129,Kalau untuk menaikkan meter air yg posisinya lebih rendah dari jalan apakah bisa min?,menaikkan meter air posisi lebih rendah jalan admin ?,Meteran (Macet/Bermasalah),Netral
130,Daerah setro baru gang 3 pak meter airnya 60 cm di bawah permukaan tanah setelah adanya pavingisasi jadi gelap dan susah saat pengecekan tiap bulan,daerah setro baru gang meter air permukaan tanah paving gelap susah pengecekan,Meteran (Macet/Bermasalah),Negatif
135,Kelurahan  Sukomanunggal kapan ya ?,kelurahan sukomanunggal kapan ?,Lainnya,Netral
136,Pdam daerah kutorejo kok berbusa ya min,pdam daerah kutorejo berbusa admin,Air Kotor/Bau,Netral
137,Air disidosermo apa ada perbaikan ya? Koo ditempat saya mengalir nya kecil ya . Dlu siang aja bisa deras ini kok pelan sekali muter meteran airnya. Ngisi tandon jadi lambat.,air sidosermo ada perbaikan ? mengalir nya kecil . siang deras pelan sekali berputar meter air . mengisi tandon lambat .,Air Tidak Mengalir,Negatif
139,"gmn pemberitahuan resminya kalo memang peraturan kost 6 kamar dikenakan tarif 3.2A ? apa akal²an petugas aja, dikira kalo punya kost penghasilan banyak gitu?trs diganti dari 2.1 ke 3.2A ?ini cuma 6 kamar, bukan 10 atau 20 kamar,","pemberitahuan resmi memang peraturan kos kamar kena tarif . ? akal petugas , kira kos penghasilan banyak ? ganti . . ? kamar , bukan kamar ,",Harga,Netral
140,@pdamsuryasembada kenapa tidak sekalian seluruh wilayah surabaya? rumah saya sudah berkali2 complain volume kubik yang tidak wajar dan solusinya sudah 3x disuruh ganti kran / valve dan berbayar pula. meteran air bermasalah itu tanggung jawab pdam atau pel,tidak wilayah surabaya ? rumah sudah komplain volume kubik tidak wajar solusi sudah suruh ganti keran katup berbayar . meter air bermasalah tanggung jawab pdam pel,Meteran (Macet/Bermasalah),Negatif
142,BAYAR HUTANG @glen_probity,bayar hutang,Lainnya,Negatif
144,Min kalau untuk wilayah sidoarjo apa promo jg kah?,admin wilayah sidoarjo promo ?,Lainnya,Netral
145,"setelah daftar, harus nunggu berapa lama ya kak untuk pemasangannya dan siap di gunakan?","daftar , harus tunggu lama kakak pemasangan gunakan ?",Pemasangan,Netral
146,Kalo di depan rumah Masi belum ada pipa gmn min,rumah belum ada pipa admin,Pemasangan,Negatif
147,Min daftar langsung di kantor bisa ya min?,admin daftar kantor admin ?,Lainnya,Netral
148,Min...klo persyaratan tdk lengkap gmn min,admin . persyaratan tidak lengkap admin,Lainnya,Negatif
150,"Min kalau listrik 5000 watt biayanya yh 1,7 jt ya?","admin listrik watt biaya , juta ?",Harga,Netral
151,Brpa lama pemasangan jika sdah melakukan pembayaran,lama pemasangan sudah melakukan pembayaran,Pemasangan,Negatif
152,Diskon itu apakah include dengan pipa dan meterannya?,diskon pipa meteran ?,Kebocoran,Netral
153,Maaf min untuk PSB 900watt ini biayanya 600rb ?? Bukan 300rb ya??,maaf admin psb watt biaya ? bukan ?,Harga,Netral
155,Daerah mojo ditindaklanjuti gak ada air mengalir daripada saya datangi kantornya,daerah mojo tindak lanjut tidak ada air mengalir mendatangi kantor,Air Tidak Mengalir,Negatif
156,minnn air dirumah saya kenapa kok gk nyalah ya takut ada kebocoran min,admin air rumah ga hidup takut ada kebocoran admin,Kebocoran,Negatif
157,"Min klo uda daftar dan data2 udah lengkap, proses selanjutnya gmn? Msh nunggu konfirmasi lagi kah dari wa call center?","admin sudah daftar data sudah lengkap , proses ? tunggu konfirmasi whatsapp call center ?",Lainnya,Netral
159,"Untuk daya listrik 900watt, itu harganya jadi 300rb atau diskonnya yang 300rb ? Mohon penjelasannya","daya listrik watt , harga diskon ? mohon penjelasan",Harga,Netral
161,Saya kan mau bangun rumah dan blm ada listrik nya..apa bs,kan bangun rumah belum ada listrik nya .,Lainnya,Negatif
164,Berlaku area surabaya saja apa semua daerah ya min?,berlaku area surabaya daerah admin ?,Lainnya,Netral
165,Maaf min mau tanya apa benar PSB untuk daya listrik 1300 watt biayanya 600 ribu,maaf admin benar psb daya listrik watt biaya,Harga,Netral
166,Untuk area bekasi juga diskon min??,area bekasi diskon admin ?,Lainnya,Netral
167,Kalau nama pemilik tanah dan pemasang PDAM beda nama apakah bisa,nama pemilik tanah pemasang pdam beda nama,Pemasangan,Negatif
168,Knp pembayaran pdam melalui gojek dan grab kok gak bisa terus,pembayaran pdam melalui gojek grab tidak,Harga,Negatif
169,"Min dari daftar sampai proses pemasangan,nunggu nya berapa lama?","admin daftar sampai proses pemasangan , tunggu nya lama ?",Pemasangan,Netral
170,Tambakwedi Baru gak keluar air sama sekali dari tadi pagi,tambak wedi baru tidak keluar air sekali pagi,Air Tidak Mengalir,Negatif
171,Daerah simo gunung kok dari kemaren air mengecil sampai tidak keluar ada apaa yaaa,daerah simo gunung air mengecil sampai tidak keluar ada,Air Tidak Mengalir,Negatif
172,Simolangit gak ada air nya piye PDAM iki,simolangit tidak ada air nya pdam,Air Tidak Mengalir,Negatif
174,Duta lingkungan:clapping_hands: @arrovaicals :person_with_crown::raising_hands:,duta lingkungan person with crown,Lainnya,Netral
175,"Halo selamat siang kak admin pdam, mengenai pengaduan yg saya sampaikan 25 april 2025 melalui DM. Sampai hari ini belum diberikan tindak lanjut nihh. Tolong dong diberikan tindak lanjutnya. Dari 25 april 2025 sampai komen ini ditulis 13 mei 2025. Belum ada tindak lanjut lho. Mohon dong.","halo selamat siang kakak admin pdam , pengaduan april melalui pesan . sampai belum diberikan tindak nih . diberikan tindak lanjutnya . april sampai komen tulis mei . belum ada tindak loh . mohon .",Pelayanan,Negatif
178,"Maaf itu 1,5 juta popok per hari bukan pertahun :raising_hands:","maaf , juta popok bukan",Lainnya,Netral
179,Min ini kenapa di kalijudan 9 air nya nyala kecil sekali?:folded_hands_medium-light_skin_tone:,admin kalijudan air nya hidup kecil sekali ? medium terang,Air Tidak Mengalir,Netral
180,Air pdam kebonsari jambangan keruh,air pdam kebonsari jambangan keruh,Air Kotor/Bau,Negatif
181,"Yuk berganti ke popok pakai ulang dan pembalut ramah lingkungan, bersama @bumbi_id","yuk berganti popok pakai ulang pembalut ramah lingkungan ,",Lainnya,Positif
182,Kok kosong.....,kosong .,Lainnya,Negatif
183,Info loker pdam min,informasi loker pdam admin,Lainnya,Netral
184,kok infonya kembali buka tanggal 2 mei min?,informasi buka tanggal mei admin ?,Lainnya,Netral
185,maaf kok buka Lg tgl 2 mei.  kak:folded_hands:,maaf buka tanggal mei . kakak,Lainnya,Negatif
186,Air PDAM di Perumahan Gunungsari Indah bisa mengalir nirmal jam berapa. Mohon segera direspon. Terima kasih,air pdam perumahan gunungsari indah mengalir normal jam . mohon respon . terima kasih,Air Tidak Mengalir,Positif
187,Srby utara udah 2hari gak nyala:crying_face: airnya,surabaya utara sudah tidak hidup air,Air Tidak Mengalir,Negatif
188,Surabaya utara,surabaya utara,Lainnya,Netral
189,Lokasi e dmn min,lokasi nya admin,Lainnya,Netral
190,Lah komen saya kok di hapus... Tolong di cek PDAM di daerah simolangit gak ada air ada 2 hari. Malah di hapus komentar saya. Laporan wa gak dihiraukan,komen hapus . cek pdam daerah simolangit tidak ada air ada . hapus komentar . laporan whatsapp tidak hirau,Air Tidak Mengalir,Negatif
